episode_index,block_index,repeat_id,episode_id,condition,offload_gb,victim_concurrency,burst_parallelism,burst_output_len,victim_seed,burst_seed,measurement_window_s,measurement_window_start_unix_ns,measurement_window_end_unix_ns,burst_offset_s,intervention_time_unix_ns,warmup_done,burst_started,burst_start_time_unix_ns,burst_end_time_unix_ns,burst_completed,burst_cancelled_or_timeout,burst_exit_code,start_utc,end_utc,duration_s,victim_json,burst_json,victim_exit_code,victim_process_start_unix_ns,burst_process_start_unix_ns,status,error_text
0,0,1,phaseA_o12_vc4_bp4_bo256_rep01_no_burst,no_burst,12,4,4,256,42001,42002,240.0,1782213103334097993,1782213343334170355,30.0,1782213133334174502,True,False,,,False,False,,2026-06-23T11:10:02.005133+00:00,2026-06-23T11:16:57.702185+00:00,415.7,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep01_no_burst/victim.json,,0,1782213103334097993,,OK,
1,0,1,phaseA_o12_vc4_bp4_bo256_rep01_fixed_burst,fixed_burst,12,4,4,256,43001,43002,240.0,1782213510574715767,1782213750574792879,30.0,1782213540574788466,True,True,1782213540575002552,1782213925299373118,True,False,0,2026-06-23T11:16:57.702766+00:00,2026-06-23T11:25:25.299469+00:00,507.6,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep01_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep01_fixed_burst/burst.json,0,1782213510574715767,1782213540575002552,OK,
2,1,2,phaseA_o12_vc4_bp4_bo256_rep02_no_burst,no_burst,12,4,4,256,44001,44002,240.0,1782214014117797826,1782214254117873298,30.0,1782214044117878150,True,False,,,False,False,,2026-06-23T11:25:25.299892+00:00,2026-06-23T11:31:46.861283+00:00,381.56,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep02_no_burst/victim.json,,0,1782214014117797826,,OK,
3,1,2,phaseA_o12_vc4_bp4_bo256_rep02_fixed_burst,fixed_burst,12,4,4,256,45001,45002,240.0,1782214396228836592,1782214636228909023,30.0,1782214426228903059,True,True,1782214426229025732,1782214784478009302,True,False,0,2026-06-23T11:31:46.861777+00:00,2026-06-23T11:39:44.478099+00:00,477.62,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep02_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep02_fixed_burst/burst.json,0,1782214396228836592,1782214426229025732,OK,
4,2,3,phaseA_o12_vc4_bp4_bo256_rep03_no_burst,no_burst,12,4,4,256,46001,46002,240.0,1782214874713023192,1782215114713111135,30.0,1782214904713113592,True,False,,,False,False,,2026-06-23T11:39:44.478654+00:00,2026-06-23T11:46:02.757218+00:00,378.28,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep03_no_burst/victim.json,,0,1782214874713023192,,OK,
5,2,3,phaseA_o12_vc4_bp4_bo256_rep03_fixed_burst,fixed_burst,12,4,4,256,47001,47002,240.0,1782215251428279577,1782215491428656416,30.0,1782215281428357234,True,True,1782215281428588520,1782215639469539888,True,False,0,2026-06-23T11:46:02.757830+00:00,2026-06-23T11:53:59.469628+00:00,476.71,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep03_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep03_fixed_burst/burst.json,0,1782215251428279577,1782215281428588520,OK,
6,3,4,phaseA_o12_vc4_bp4_bo256_rep04_fixed_burst,fixed_burst,12,4,4,256,48001,48002,240.0,1782215728388085914,1782215968388155187,30.0,1782215758388158058,True,True,1782215758388362514,1782216116333619406,True,False,0,2026-06-23T11:53:59.470169+00:00,2026-06-23T12:01:56.333711+00:00,476.86,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep04_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep04_fixed_burst/burst.json,0,1782215728388085914,1782215758388362514,OK,
7,3,4,phaseA_o12_vc4_bp4_bo256_rep04_no_burst,no_burst,12,4,4,256,49001,49002,240.0,1782216206703348475,1782216446703423841,30.0,1782216236703408569,True,False,,,False,False,,2026-06-23T12:01:56.334243+00:00,2026-06-23T12:08:41.172151+00:00,404.84,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep04_no_burst/victim.json,,0,1782216206703348475,,OK,
8,4,5,phaseA_o12_vc4_bp4_bo256_rep05_fixed_burst,fixed_burst,12,4,4,256,50001,50002,240.0,1782216610638045951,1782216850638117437,30.0,1782216640638119179,True,True,1782216640638345536,1782216950865439486,True,False,0,2026-06-23T12:08:41.172786+00:00,2026-06-23T12:15:50.865536+00:00,429.69,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep05_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep05_fixed_burst/burst.json,0,1782216610638045951,1782216640638345536,OK,
9,4,5,phaseA_o12_vc4_bp4_bo256_rep05_no_burst,no_burst,12,4,4,256,51001,51002,240.0,1782217041139565330,1782217281139640606,30.0,1782217071139635063,True,False,,,False,False,,2026-06-23T12:15:50.866123+00:00,2026-06-23T12:21:52.548221+00:00,361.68,/home/rock/projects/DOS/data/phase_a/phaseA_offload12_vc4_bp4_bo256_20260623_111001/episodes/phaseA_o12_vc4_bp4_bo256_rep05_no_burst/victim.json,,0,1782217041139565330,,OK,
