offload_gb,llama_tpot_ratio_vs_offload0,qwen_tpot_ratio_vs_offload0,tpot_ratio_diff_llama_minus_qwen,llama_itl_ratio_vs_offload0,qwen_itl_ratio_vs_offload0,itl_ratio_diff_llama_minus_qwen,llama_tpot_rank,qwen_tpot_rank
0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
2,12.179122268453662,14.242709975879576,-2.0635877074259135,12.207044171621526,14.281215628853952,-2.074171457232426,2.0,2.0
4,23.414386185246823,27.806384926286906,-4.391998741040084,23.468286261840483,27.86160499371075,-4.3933187318702664,3.0,3.0
8,45.64040972526337,51.9490500982623,-6.30864037299893,45.743358891216104,52.06518158345327,-6.321822692237163,4.0,4.0
12,68.05548859780613,76.35068447929109,-8.295195881484958,68.20076617711607,76.52356189428154,-8.322795717165477,5.0,6.0
16,72.78509551376128,75.90554661364776,-3.1204510998864805,72.9479673736983,76.07311278191224,-3.125145408213939,6.0,5.0
