model,tpot_offload12,tpot_offload16,tpot_ratio_16_over_12,tpot_abs_diff_16_minus_12,tpot_pct_diff,tpot_16_higher_than_12,itl_offload12,itl_offload16,itl_ratio_16_over_12,itl_abs_diff_16_minus_12,itl_pct_diff,itl_16_higher_than_12
llama,1409.2500188304375,1507.1877277896708,1.06949633326279,97.9377089592333,6.949633326279003,True,1408.9690059918212,1507.0420882475446,1.069606273692789,98.07308225572342,6.960627369278893,True
qwen,1499.2342639302829,1490.4934655353936,0.9941698248197883,-8.740798394889225,-0.5830175180211672,False,1498.292716249125,1489.4731499953195,0.9941135893152543,-8.819566253805533,-0.5886410684745713,False
