dataset_model,offload_gb,concurrency,files,completed_requests,failed_requests,median_ttft_ms_n,median_ttft_ms_median,median_ttft_ms_p05,median_ttft_ms_p95,median_ttft_ms_min,median_ttft_ms_max,median_tpot_ms_n,median_tpot_ms_median,median_tpot_ms_p05,median_tpot_ms_p95,median_tpot_ms_min,median_tpot_ms_max,median_itl_ms_n,median_itl_ms_median,median_itl_ms_p05,median_itl_ms_p95,median_itl_ms_min,median_itl_ms_max,median_e2el_ms_n,median_e2el_ms_median,median_e2el_ms_p05,median_e2el_ms_p95,median_e2el_ms_min,median_e2el_ms_max,p95_ttft_ms_n,p95_ttft_ms_median,p95_ttft_ms_p05,p95_ttft_ms_p95,p95_ttft_ms_min,p95_ttft_ms_max,p95_tpot_ms_n,p95_tpot_ms_median,p95_tpot_ms_p05,p95_tpot_ms_p95,p95_tpot_ms_min,p95_tpot_ms_max,p95_itl_ms_n,p95_itl_ms_median,p95_itl_ms_p05,p95_itl_ms_p95,p95_itl_ms_min,p95_itl_ms_max,p95_e2el_ms_n,p95_e2el_ms_median,p95_e2el_ms_p05,p95_e2el_ms_p95,p95_e2el_ms_min,p95_e2el_ms_max,request_throughput_n,request_throughput_median,request_throughput_p05,request_throughput_p95,request_throughput_min,request_throughput_max,output_throughput_n,output_throughput_median,output_throughput_p05,output_throughput_p95,output_throughput_min,output_throughput_max,total_token_throughput_n,total_token_throughput_median,total_token_throughput_p05,total_token_throughput_p95,total_token_throughput_min,total_token_throughput_max,duration_s_n,duration_s_median,duration_s_p05,duration_s_p95,duration_s_min,duration_s_max,median_tpot_ms_median_ratio_vs_offload0,median_itl_ms_median_ratio_vs_offload0,median_ttft_ms_median_ratio_vs_offload0,median_e2el_ms_median_ratio_vs_offload0,output_throughput_median_ratio_vs_offload0,model
llama,2,12,15,300,0,15,578.1280039991543,573.7789739981963,579.6266475997982,571.8331559983199,579.7782374975213,15,257.2653622936785,257.14325531290314,257.3685452433011,257.11628451608703,257.3878415039256,15,256.91403200107743,256.6684619014268,256.99210805032635,256.5907429998333,257.00651650186046,15,16785.436149002635,8545.97268225225,33262.00144145187,8543.393047497375,33266.92529150387,15,618.1644555039385,616.2139887612649,619.6986794795522,614.9461736484228,620.2211525484018,15,257.277749317412,257.16043286929266,257.37230351178243,257.13277533883934,257.3907195196704,15,257.87194294716755,257.7444178210135,257.9876556220915,257.7038705974701,258.0861324964644,15,16787.294633996862,8547.837498099943,33263.48260579649,8544.895983652532,33268.17539879885,15,0.5997583074900426,0.3028770523479429,1.176195011942816,0.3028623177888132,1.1764801422922604,15,38.38453167936272,37.62083514815455,38.77560718040376,37.61168494756197,38.77698971211824,15,191.32290008932355,116.00191104926212,337.56796842758814,115.99626771311546,337.6498008378788,15,33.34676610599854,17.003983438601427,66.03339495430191,16.999861944997974,66.03660747899994,11.531129538125215,11.565556681504615,7.168890348401373,11.2988926184175,0.0860301465480736,llama
llama,2,16,15,300,0,15,621.1118414976227,617.9326724995917,623.2595908506482,616.4954394989763,623.4659399997327,15,257.5608881935853,257.423945656457,257.70027247284406,257.4042792581285,257.7004938464698,15,257.4838069995167,257.3364339019463,257.5842690479476,257.2757845009619,257.59608049702365,15,16846.94482750274,8598.443363497427,33349.523996300195,8595.94607499821,33350.73017749892,15,630.1987922455738,627.2212066537032,632.3867091304784,625.8261264960312,632.4125052520686,15,257.56408658059127,257.4251142930746,257.7008796648199,257.4056518082568,257.7016018027322,15,258.28614459860546,258.0933457133142,258.5410996131759,258.05355355150823,258.58001055312343,15,16848.63542139974,8600.057143116865,33351.39931274778,8597.728462252053,33352.472705346736,15,0.6005669425747044,0.3035072765281263,1.176123555645042,0.3035018963387657,1.1761958486730548,15,38.43628432478109,37.61303298732688,38.853007437771446,37.61027152668362,38.8586371685678,15,191.58085468133072,116.2432869102724,337.5474604701271,116.24122629774727,337.5682085691668,15,33.301866257002985,17.005016128101126,65.89627844009883,17.003970913996454,65.89744657699339,11.413972598123651,11.428480179506794,6.942302778666407,11.148304116495028,0.0859685074075277,llama
llama,4,1,15,300,0,15,490.2349869989848,489.397606548664,490.9360656525678,489.2254159967706,491.214043002401,15,195.04860860321236,195.02553250644152,195.0557845905384,195.0173631451053,195.05826121258715,15,195.03413350321352,195.0245031977829,195.0388132012449,195.0206350011285,195.03943200106733,15,12778.53361000234,6535.419440850455,25262.7715371018,6535.289835497679,25262.90509500177,15,492.3195600524196,491.6228680798668,493.42782108346,491.5473479457432,493.9482841025893,15,195.06688541666895,195.0563754910732,195.12300459808063,195.0502659998869,195.18998430824243,15,195.3082592015562,195.27617818519505,195.38486082728923,195.2702529993985,195.38796130109404,15,12780.78396355122,6538.815632780716,25269.86510921204,6538.389548556006,25277.719502046966,15,0.0782573008044375,0.0395817888829535,0.1529897565520077,0.039579940685631,0.1530017579346925,15,5.008467251484003,4.895101274923489,5.06677716401392,4.894920980269154,5.066878664781831,15,24.96407895661558,15.159825142171195,43.90806013042622,15.159117282596675,43.91150452725676,15,255.5672096329945,130.72770689680112,505.2828733393006,130.71745233500403,505.3064672039982,10.01259837028323,10.011271669163255,17.282278467729707,10.175569212334302,0.0983089074771337,llama
llama,4,2,15,300,0,15,875.1476885008742,494.6639117501036,890.1231736490445,494.4962109984772,921.5079259956838,15,481.10883156298615,474.090590691999,483.44502384029545,474.08648240337743,483.4601472637902,15,483.4627709969936,483.4195998508221,483.5331452519313,483.4164705025614,483.5412530010217,15,31041.685307500305,15543.958503700196,61985.21549289762,15483.655634499884,61985.25714849893,15,1162.8918398473616,496.93436881902016,1163.962311357609,496.9283197006007,1163.9823052486463,15,483.5105213960431,483.3784840889752,483.6493676663425,483.3299551072005,483.6559462952972,15,484.3735260503309,484.29637165842,484.45714631594456,484.294065404174,484.4753075052722,15,31056.74906154381,15580.872659091474,62002.0185907276,15580.6851209054,62002.65383004735,15,0.0644262606193615,0.0322674811376955,0.1286187882689312,0.0322670777160025,0.1287275405125242,15,4.123280679639141,4.109223109305866,4.135591942911229,4.109215208549433,4.13587322261612,15,20.551977137576344,12.358445275737385,36.91359223318327,12.358290765228972,36.94480412709445,15,310.43242006799846,155.49832488899992,619.8190653926008,155.36690843599354,619.826814688,23.83143361101632,23.949292892131076,14.56180375083104,23.30362638813321,0.0427071056209176,llama
llama,4,4,15,300,0,15,1169.2433950011036,767.0887443004176,1452.972770449196,739.351420001185,1453.3917285007192,15,483.2292812795394,483.1595640806545,483.2918124997833,483.14286648412,483.3127936288938,15,483.248298001854,483.1811224004923,483.2949188486964,483.1558859987126,483.3114175016817,15,31893.84871150105,15844.409504403666,62538.83383774955,15813.356642000144,62542.94812800072,15,1456.1585152514454,1368.897660083021,1463.2525489315958,1187.7543823524322,1463.9947866500734,15,483.3581315661685,483.295275724808,483.4696921133992,483.28799868192056,483.53653221289983,15,484.2223391489824,484.1339777663961,484.429396153173,484.07264975139697,484.5184301007976,15,31902.175368748794,16065.45707823745,62550.9925939759,15861.271101450257,62551.2122422504,15,0.1257750299306003,0.0639964208474114,0.2525175547424842,0.0639921233569747,0.2528139554230946,15,8.090046573539027,7.832875791045743,8.231996103014787,7.832857898293718,8.239816851633984,15,40.12223454786152,24.51062918455859,72.47253821109298,24.508983245721325,72.55760520642815,15,159.0140746620018,79.2024610799992,312.5174779123983,79.10955693299911,312.53846490499564,23.57382247131523,23.5993526376574,18.81565821814913,23.574531393688485,0.0427225089676896,llama
llama,4,8,15,300,0,15,1171.4281790009409,1165.3072241511836,1172.2349183015467,1162.4994019985024,1172.3966645004111,15,486.3548311111536,486.2580050059272,486.4746856350452,486.24045594445465,486.5180320354173,15,486.2383379986568,486.1366053002712,486.3468413499504,486.1278524986119,486.37379450156,15,31800.80448750232,16233.450309399268,62944.87178944946,16232.66509700261,62945.99605350231,15,1454.3765750964667,1368.6769804777214,1455.755529317721,1182.4620940005846,1456.685484151967,15,486.4383898725317,486.33567003686096,486.5398604585279,486.2996710321421,486.5751613709548,15,487.3649369463237,487.2712590527226,487.5177122770765,487.2102015502605,487.6283560992305,15,31826.782818951324,16261.197183116235,62971.08604240912,16260.011089045654,62971.99139874792,15,0.2100066402655879,0.1061263961715254,0.4111266280931473,0.1061257769379379,0.4111322116669617,15,13.440424976997626,13.153325054555427,13.585227430925908,13.152322513399442,13.586530320713862,15,66.99211824472255,40.64640973369426,117.99334226273328,40.64617256723024,117.994944748418,15,95.23508387499896,48.64681252669834,188.4545289558977,48.64615185200091,188.4556285669969,23.25018449075051,23.28015888056213,18.119309052619457,23.009572058558625,0.043347754262684,llama
llama,4,12,15,300,0,15,1074.0211815027578,1070.3062263495667,1186.1924346459996,1070.1757914976042,1444.1134549961134,15,493.13566132261786,492.8814427822691,493.3008637314288,492.87281177420215,493.35992428738007,15,492.6072419984848,492.3340090001148,492.78510514996015,492.2492599980615,492.7997039994807,15,32135.307473003195,16354.322377450808,63719.81151460095,16351.382724998984,63725.83556550308,15,1174.0722650491082,1170.3986114089278,1261.841960952588,1170.298616298169,1463.0487827500474,15,493.1540741114722,492.8925333761042,493.31254221873473,492.8884736145612,493.3640870747881,15,494.0040695033531,493.7589756521993,494.22158821180346,493.7293964499986,494.22331000132544,15,32136.814991245046,16356.51578037694,63721.58813608857,16353.482556547173,63727.4940464471,15,0.3127924061170785,0.1578921388687054,0.6136274814488062,0.1578916377525216,0.6136659036899976,15,20.018713991493023,19.63200087978213,20.21267493881547,19.62907760820518,20.213062576731527,15,99.78077755134804,60.4726891867142,176.1110871758074,60.472497259215785,176.1221143590293,15,63.94017120899662,32.59306442140296,126.6687508535004,32.59102368200547,126.66915287399752,22.10329109166624,22.175810852671702,13.318054183144229,21.63145390886176,0.0448673677401685,llama
llama,4,16,15,300,0,15,1153.36495000156,1150.616614399405,1155.760194301547,1149.9695995007642,1156.3025935029143,15,493.5277494527484,493.2637873247468,493.7184684839233,493.1193211935264,493.8327393064092,15,493.3538195036817,493.1220552982268,493.4704305491323,493.092438999156,493.5002109959896,15,32241.54055250256,16443.92311900301,63836.22674664948,16441.56601600116,63842.78083299796,15,1183.6369571519756,1181.6375847148813,1186.336103725662,1181.6224110967598,1186.765739399198,15,493.5338145121989,493.26487595684193,493.72132432387934,493.1206970969792,493.8346434501117,15,494.3982871987828,494.1418971800522,494.7346218675011,493.8341660494188,494.7633770971152,15,32243.59966789889,16445.66230403194,63838.11846974825,16443.13566810415,63844.51133314651,15,0.3132298013429133,0.1582517892356754,0.6136599354673914,0.1582513800138711,0.6137439078834309,15,20.046707285946454,19.62630232849789,20.256597459802272,19.626080315221877,20.256888153462555,15,99.92030662838934,60.61043527726369,176.12040147914132,60.61027854531264,176.1445015625447,15,63.850884922998375,32.59134091140076,126.38087756639796,32.58688150400121,126.3812043739963,21.87099232408844,21.897626935787784,12.891412081125036,21.33553014768708,0.0448374637164734,llama
llama,8,1,15,300,0,15,948.4868779982208,948.2784552499652,949.4386416467024,948.0418254970572,949.4802184999572,15,364.7151707204547,364.7009331386793,364.7235895114308,364.7008989515128,364.7255989055238,15,364.68786900513805,364.67994979102514,364.69944910058985,364.6786204990349,364.7012844958226,15,23925.82234850124,12254.208962502162,47268.87878909547,12254.097151497264,47270.14882850199,15,952.2022857046976,950.8669525713776,953.8480596002772,950.8147193409968,955.3732002379548,15,364.7401617848594,364.7307777038987,364.800834913272,364.7222916679663,364.8962474421311,15,365.1317566567741,365.0927346861863,365.1741863202915,365.091515849781,365.2003243507352,15,23929.81794549778,12257.888787874908,47278.62739343713,12257.545073708025,47284.121362301084,15,0.0417946073118422,0.0211549297430078,0.0816022557409704,0.0211547576292771,0.0816023684941296,15,2.6748548679579054,2.611108758897628,2.707924977800948,2.610955489206827,2.7079302571117703,15,13.332479732477683,8.102338091572015,23.41984739765852,8.102272172013151,23.41987975781521,15,478.53063556199777,245.09126394130877,945.406117795204,245.09092528899785,945.4138095310044,18.722238267292376,18.71974543880804,33.43705525568041,19.05217521035613,0.0525034998783149,llama
llama,8,2,15,300,0,15,1673.0717804966844,955.330149497604,1784.3303030967943,954.3291285008308,1784.8329709959216,15,937.3504348503936,923.4413665547524,941.994761889825,923.4315131290068,942.0187628549626,15,942.0284094958332,941.9464451464592,942.0506455004216,941.9250184946576,942.0683205025852,15,60444.19999600359,30154.712385895986,120726.82110059832,30153.42162999877,120727.56058549568,15,2250.191891899158,960.4440927640826,2252.69937592042,958.5052551919944,2252.84411659959,15,942.0736320753002,937.8083705607108,942.3027651585336,937.757846313444,942.312011120638,15,943.3256554984836,943.2194140216598,943.4262723567372,943.1756885518552,943.4510205450352,15,60658.17606349956,30166.47861888341,120812.63351547692,30166.06287354516,120935.22938264725,15,0.0330720195823069,0.0165633016602346,0.0663203309922546,0.0165628444397934,0.0663207613134046,15,2.120044088293564,2.1103396453054137,2.1222505917521493,2.1074029928700244,2.12226436202895,15,10.549974246755925,6.343744535869858,19.033934994777084,6.3435694204408986,19.034058496947143,15,604.7408127050003,301.56664933859577,1207.4887251826017,301.5646926229965,1207.5220577419968,46.43108418073161,46.66525665502461,27.83866454630057,45.37669395469749,0.0219584728361687,llama
llama,8,4,15,300,0,15,2264.6589529977064,971.78400039993,2829.74242575292,971.017005496833,2830.6847010026104,15,942.1757927440464,942.0449022562652,942.3206425555368,942.0299691825808,942.331935491922,15,942.1830185019644,942.0287615503184,942.2751216974576,941.9717980053974,942.2934574977262,15,61616.62090899336,31467.92943460096,121948.86008334944,31467.22701750696,122007.95085250138,15,2839.153685692145,2174.1284669999736,2849.929467828115,1958.1048857966389,2851.2138257035986,15,942.3314634579818,942.160516441578,942.6944569647858,942.159156822313,942.782411054847,15,943.4856079489692,943.4238482893124,943.828829568447,943.3899233525152,943.8719599929756,15,61622.99452023799,31474.43000828367,122108.37009487506,31474.25111741104,122499.88890000097,15,0.0649960128079585,0.0328201415213176,0.1277107958720184,0.0328074161540914,0.1284503730028148,15,4.159744819709344,4.017853721201634,4.231433442897782,4.017587927199247,4.237167774247465,15,20.73372808573876,12.57011420266465,36.65299841526928,12.56524038701702,36.865257051807866,15,307.71118313200714,156.60607524359656,609.3819332216997,155.7021558790002,609.6182614949939,45.96303604803774,46.01135564217763,36.44326666496678,45.54429843608868,0.0219670843360288,llama
