model,offload_gb,output_len,n_runs,ttft_n,ttft_median,ttft_p05,ttft_p95,ttft_min,ttft_max,tpot_n,tpot_median,tpot_p05,tpot_p95,tpot_min,tpot_max,itl_n,itl_median,itl_p05,itl_p95,itl_min,itl_max,e2el_n,e2el_median,e2el_p05,e2el_p95,e2el_min,e2el_max
llama,0,32,30,30,62.06777974966826,27.874339725440226,89.399875224899,27.623086998573854,89.79214650025824,30,20.699034612892234,19.460425033884672,22.55089914433484,19.458124112955584,22.62390545160264,30,20.647090500460763,19.449256351072105,22.514446598779614,19.444028999714646,22.532822998982738,30,697.8832134991535,631.6039894743881,788.6062676489018,631.1074209988874,790.063292000923
llama,0,64,30,30,63.50271875089675,28.143884249766412,90.02379375024248,27.90981950056448,90.2532695017726,30,20.695181380948007,19.479835226161775,22.564660715091573,19.47438289682886,22.58200104759973,30,20.673480501500308,19.478977024391497,22.525998524815805,19.47349650254182,22.53167249909893,30,1367.7243602505769,1255.5441899503421,1511.1970405750071,1255.2054975021747,1511.424148500737
llama,0,128,30,30,63.46113849940593,28.26107562423204,89.4137854258588,27.778425501310267,89.99063550072606,30,20.744034972439277,19.48617590118317,22.7112340358263,19.480857877950505,22.71752940159929,30,20.71814424925833,19.488270824513165,22.617799524687143,19.4864700006292,22.63059550023172,30,2699.0280895006435,2503.033522950591,2973.372026601828,2502.76988800033,2973.8847610005905
llama,2,32,30,30,577.482138749474,259.08198252618604,637.2081319741483,258.9924644998973,754.4801804979215,30,252.1866843871389,107.0198912717681,257.5032627540315,107.00088716135548,257.6098217096813,30,252.18700399818772,107.0128659996044,257.4374025736688,107.01004700240446,257.4838069995167,30,8443.537062999894,3576.7435247978933,8603.287054501016,3575.9751825025887,8606.516771498718
llama,2,64,30,30,579.0450912500091,258.4118360757202,695.5257232240907,258.280043501145,754.9970620020758,30,252.24658816665715,107.0318958789271,257.5545013420774,107.03100113494745,257.62858596822804,30,252.20284275201266,107.02301577493928,257.48431817391975,107.02208649672684,257.5258329998178,30,16558.155094498943,7001.497604850557,16847.499946899734,7001.4204180006345,16849.44619849557
llama,2,128,30,30,578.8448422499641,258.683597973868,623.2112276255066,257.90793299893267,754.2112035007449,30,252.29744190944515,107.03889274174556,257.6980267897688,107.03710431498192,257.7004938464698,30,252.23506999827805,107.02821192771808,257.57528997455665,107.02662000039707,257.59608049702365,30,32681.337160249317,13852.571866199833,33348.98121710066,13852.295826502086,33350.73017749892
llama,4,32,30,30,1074.3947365008353,489.7308689009151,1325.774324597477,489.2254159967706,1452.7932169985434,30,484.80721574190784,195.03248818791397,493.60104551294256,195.0173631451053,493.8327393064092,30,484.8339414984366,195.02692352198207,493.4313179745005,195.0206350011285,493.5002109959896,30,16235.212296998725,6535.596778725085,16453.157583175744,6535.289835497679,16460.745976997714
llama,4,64,30,30,1113.795863748237,490.0794381246669,1452.0539663999443,489.7678504967189,1453.3917285007192,30,484.83949915876906,195.04828391985478,493.46135853854304,195.04435434917843,493.5650453809348,30,484.8038477502996,195.03519002755638,493.3191450261802,195.03349249862367,493.426062999788,30,31800.899260751976,12778.320519377485,32242.173253801957,12777.972779502306,32245.99088149625
llama,4,128,30,30,1074.173140750645,490.3046669518517,1171.5290142477897,490.1965275057592,1172.1655985020334,30,484.89192619489063,195.05273605296162,493.5623767781675,195.049206161421,493.6222447559119,30,484.88979549983924,195.03500424980305,493.3949366766683,195.03259499833803,493.4430275025079,30,62734.805082251114,25262.48610784914,63832.55462717352,25262.05769450098,63842.78083299796
llama,8,32,30,30,2186.4041382505093,948.4206803812413,2829.7865576987533,948.3798680012114,2847.537491499679,30,945.0846747015256,364.70098373216797,959.3973730976651,364.7008989515128,959.5549961936006,30,944.991672753531,364.68301864297246,959.3161524728202,364.6786204990349,959.4797809913872,30,31636.86513374705,12254.264305152901,32038.19616727451,12254.097151497264,32248.636734002503
