episode_id,model,offload_gb,state_label,concurrency,condition,repeat,random_seed,episode_seed,victim_workload_seed,burst_workload_seed,victim_request_count,victim_input_len,victim_output_len,victim_temperature,burst_parallel_requests,burst_input_len,burst_output_len,burst_temperature,restart_server_before_block,block_id,order_in_block
llama_off0_conc8_no_burst_rep1,llama,0,low,8,no_burst,1,20260716,747202982,1935461300,285693617,20,256,64,0.0,4,2048,16,0.0,1,llama_block01_low,1
llama_off0_conc4_prefill_burst_rep1,llama,0,low,4,prefill_burst,1,20260716,1950390237,27204158,1604672168,20,256,64,0.0,4,2048,16,0.0,0,llama_block01_low,2
llama_off0_conc8_prefill_burst_rep1,llama,0,low,8,prefill_burst,1,20260716,1601519591,1935461300,285693617,20,256,64,0.0,4,2048,16,0.0,0,llama_block01_low,3
llama_off0_conc4_no_burst_rep1,llama,0,low,4,no_burst,1,20260716,658117302,27204158,1604672168,20,256,64,0.0,4,2048,16,0.0,0,llama_block01_low,4
llama_off12_conc8_no_burst_rep1,llama,12,high,8,no_burst,1,20260716,187153589,1935461300,285693617,20,256,64,0.0,4,2048,16,0.0,1,llama_block02_high,1
llama_off12_conc4_prefill_burst_rep1,llama,12,high,4,prefill_burst,1,20260716,2077424573,27204158,1604672168,20,256,64,0.0,4,2048,16,0.0,0,llama_block02_high,2
llama_off12_conc8_prefill_burst_rep1,llama,12,high,8,prefill_burst,1,20260716,944877036,1935461300,285693617,20,256,64,0.0,4,2048,16,0.0,0,llama_block02_high,3
llama_off12_conc4_no_burst_rep1,llama,12,high,4,no_burst,1,20260716,1878636205,27204158,1604672168,20,256,64,0.0,4,2048,16,0.0,0,llama_block02_high,4
llama_off12_conc4_no_burst_rep2,llama,12,high,4,no_burst,2,20260716,1192182364,1530472010,2079994297,20,256,64,0.0,4,2048,16,0.0,1,llama_block03_high,1
llama_off12_conc4_prefill_burst_rep2,llama,12,high,4,prefill_burst,2,20260716,1943055107,1530472010,2079994297,20,256,64,0.0,4,2048,16,0.0,0,llama_block03_high,2
llama_off12_conc8_no_burst_rep2,llama,12,high,8,no_burst,2,20260716,457176140,2135852826,1760055069,20,256,64,0.0,4,2048,16,0.0,0,llama_block03_high,3
llama_off12_conc8_prefill_burst_rep2,llama,12,high,8,prefill_burst,2,20260716,1771713505,2135852826,1760055069,20,256,64,0.0,4,2048,16,0.0,0,llama_block03_high,4
llama_off0_conc4_no_burst_rep2,llama,0,low,4,no_burst,2,20260716,481838251,1530472010,2079994297,20,256,64,0.0,4,2048,16,0.0,1,llama_block04_low,1
llama_off0_conc4_prefill_burst_rep2,llama,0,low,4,prefill_burst,2,20260716,39768283,1530472010,2079994297,20,256,64,0.0,4,2048,16,0.0,0,llama_block04_low,2
llama_off0_conc8_no_burst_rep2,llama,0,low,8,no_burst,2,20260716,811621611,2135852826,1760055069,20,256,64,0.0,4,2048,16,0.0,0,llama_block04_low,3
llama_off0_conc8_prefill_burst_rep2,llama,0,low,8,prefill_burst,2,20260716,2117812193,2135852826,1760055069,20,256,64,0.0,4,2048,16,0.0,0,llama_block04_low,4
llama_off0_conc8_no_burst_rep3,llama,0,low,8,no_burst,3,20260716,1378206712,1650541823,2004347467,20,256,64,0.0,4,2048,16,0.0,1,llama_block05_low,1
llama_off0_conc4_prefill_burst_rep3,llama,0,low,4,prefill_burst,3,20260716,1613757877,1813876246,231267343,20,256,64,0.0,4,2048,16,0.0,0,llama_block05_low,2
llama_off0_conc8_prefill_burst_rep3,llama,0,low,8,prefill_burst,3,20260716,1195666013,1650541823,2004347467,20,256,64,0.0,4,2048,16,0.0,0,llama_block05_low,3
llama_off0_conc4_no_burst_rep3,llama,0,low,4,no_burst,3,20260716,1768783270,1813876246,231267343,20,256,64,0.0,4,2048,16,0.0,0,llama_block05_low,4
llama_off12_conc8_no_burst_rep3,llama,12,high,8,no_burst,3,20260716,235164685,1650541823,2004347467,20,256,64,0.0,4,2048,16,0.0,1,llama_block06_high,1
llama_off12_conc4_prefill_burst_rep3,llama,12,high,4,prefill_burst,3,20260716,16846164,1813876246,231267343,20,256,64,0.0,4,2048,16,0.0,0,llama_block06_high,2
llama_off12_conc8_prefill_burst_rep3,llama,12,high,8,prefill_burst,3,20260716,736452293,1650541823,2004347467,20,256,64,0.0,4,2048,16,0.0,0,llama_block06_high,3
llama_off12_conc4_no_burst_rep3,llama,12,high,4,no_burst,3,20260716,1703018689,1813876246,231267343,20,256,64,0.0,4,2048,16,0.0,0,llama_block06_high,4
