episode_index,block_index,repeat_id,episode_id,condition,offload_gb,victim_concurrency,burst_parallelism,burst_output_len,victim_seed,burst_seed,measurement_window_s,measurement_window_start_unix_ns,measurement_window_end_unix_ns,burst_offset_s,intervention_time_unix_ns,warmup_done,burst_started,burst_start_time_unix_ns,burst_end_time_unix_ns,burst_completed,burst_cancelled_or_timeout,burst_exit_code,start_utc,end_utc,duration_s,victim_json,burst_json,victim_exit_code,victim_process_start_unix_ns,burst_process_start_unix_ns,status,error_text
0,0,1,phaseA_o0_vc8_bp4_bo256_rep01_no_burst,no_burst,0,8,4,256,42001,42002,240.0,1782220179090796091,1782220419090866286,30.0,1782220209090869749,True,False,,,False,False,,2026-06-23T13:09:17.674136+00:00,2026-06-23T13:13:40.506358+00:00,262.83,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep01_no_burst/victim.json,,0,1782220179090796091,,OK,
1,0,1,phaseA_o0_vc8_bp4_bo256_rep01_fixed_burst,fixed_burst,0,8,4,256,43001,43002,240.0,1782220442424146595,1782220682424220798,30.0,1782220472424222927,True,True,1782220472424448554,1782220683589450548,True,False,0,2026-06-23T13:13:40.506905+00:00,2026-06-23T13:18:03.589546+00:00,263.08,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep01_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep01_fixed_burst/burst.json,0,1782220442424146595,1782220472424448554,OK,
2,1,2,phaseA_o0_vc8_bp4_bo256_rep02_no_burst,no_burst,0,8,4,256,44001,44002,240.0,1782220704706244517,1782220944706318617,30.0,1782220734706321371,True,False,,,False,False,,2026-06-23T13:18:03.590084+00:00,2026-06-23T13:22:25.871619+00:00,262.28,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep02_no_burst/victim.json,,0,1782220704706244517,,OK,
3,1,2,phaseA_o0_vc8_bp4_bo256_rep02_fixed_burst,fixed_burst,0,8,4,256,45001,45002,240.0,1782220966838199814,1782221206838281502,30.0,1782220996838274536,True,True,1782220996839032409,1782221208461130923,True,False,0,2026-06-23T13:22:25.872159+00:00,2026-06-23T13:26:48.461210+00:00,262.59,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep02_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep02_fixed_burst/burst.json,0,1782220966838199814,1782220996839032409,OK,
4,2,3,phaseA_o0_vc8_bp4_bo256_rep03_no_burst,no_burst,0,8,4,256,46001,46002,240.0,1782221229527892688,1782221469527959512,30.0,1782221259527953968,True,False,,,False,False,,2026-06-23T13:26:48.461771+00:00,2026-06-23T13:31:11.195979+00:00,262.73,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep03_no_burst/victim.json,,0,1782221229527892688,,OK,
5,2,3,phaseA_o0_vc8_bp4_bo256_rep03_fixed_burst,fixed_burst,0,8,4,256,47001,47002,240.0,1782221492513747126,1782221732513818355,30.0,1782221522514198249,True,True,1782221522514347973,1782221733929320482,True,False,0,2026-06-23T13:31:11.196525+00:00,2026-06-23T13:35:33.929428+00:00,262.73,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep03_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep03_fixed_burst/burst.json,0,1782221492513747126,1782221522514347973,OK,
6,3,4,phaseA_o0_vc8_bp4_bo256_rep04_fixed_burst,fixed_burst,0,8,4,256,48001,48002,240.0,1782221755697077104,1782221995697136082,30.0,1782221785697141092,True,True,1782221785697320187,1782221997262642437,True,False,0,2026-06-23T13:35:33.929976+00:00,2026-06-23T13:39:57.262736+00:00,263.33,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep04_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep04_fixed_burst/burst.json,0,1782221755697077104,1782221785697320187,OK,
7,3,4,phaseA_o0_vc8_bp4_bo256_rep04_no_burst,no_burst,0,8,4,256,49001,49002,240.0,1782222018830147492,1782222258830218166,30.0,1782222048830231398,True,False,,,False,False,,2026-06-23T13:39:57.263277+00:00,2026-06-23T13:44:20.245571+00:00,262.98,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep04_no_burst/victim.json,,0,1782222018830147492,,OK,
8,4,5,phaseA_o0_vc8_bp4_bo256_rep05_fixed_burst,fixed_burst,0,8,4,256,50001,50002,240.0,1782222281268615826,1782222521269080256,30.0,1782222311268698919,True,True,1782222311268900795,1782222522486036139,True,False,0,2026-06-23T13:44:20.246141+00:00,2026-06-23T13:48:42.486117+00:00,262.24,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep05_fixed_burst/victim.json,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep05_fixed_burst/burst.json,0,1782222281268615826,1782222311268900795,OK,
9,4,5,phaseA_o0_vc8_bp4_bo256_rep05_no_burst,no_burst,0,8,4,256,51001,51002,240.0,1782222544304647263,1782222784304722783,30.0,1782222574304720045,True,False,,,False,False,,2026-06-23T13:48:42.487048+00:00,2026-06-23T13:53:05.770017+00:00,263.28,/home/rock/projects/DOS/data/phase_a/phaseA_offload0_vc8_bp4_bo256_20260623_130917/episodes/phaseA_o0_vc8_bp4_bo256_rep05_no_burst/victim.json,,0,1782222544304647263,,OK,
