episode_id,model_key,model_id,offload_gb,state_label,concurrency,trigger_after_decode_tokens,condition,repeat,random_seed,episode_seed,victim_workload_seed,burst_workload_seed,victim_request_count,victim_input_len,victim_output_len,victim_temperature,burst_parallel_requests,burst_input_len,burst_output_len,burst_temperature,max_num_batched_tokens,condition_first_in_block,restart_server_before_block,block_id,order_in_block
qwen_off0_conc8_trigger16_prefill_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,8,16,prefill_burst,1,20260718,1766727071,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,qwen_off0_conc8_rep01,1
qwen_off0_conc8_trigger16_no_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,8,16,no_burst,1,20260718,295104641,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,qwen_off0_conc8_rep01,2
qwen_off8_conc4_trigger16_prefill_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,4,16,prefill_burst,1,20260718,1083827839,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,qwen_off8_conc4_rep01,1
qwen_off8_conc4_trigger16_no_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,4,16,no_burst,1,20260718,1539108780,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,qwen_off8_conc4_rep01,2
qwen_off12_conc8_trigger16_no_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,12,high,8,16,no_burst,1,20260718,1608296530,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,qwen_off12_conc8_rep01,1
qwen_off12_conc8_trigger16_prefill_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,12,high,8,16,prefill_burst,1,20260718,1050629923,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,qwen_off12_conc8_rep01,2
qwen_off12_conc4_trigger16_no_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,12,high,4,16,no_burst,1,20260718,22251450,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,qwen_off12_conc4_rep01,1
qwen_off12_conc4_trigger16_prefill_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,12,high,4,16,prefill_burst,1,20260718,541622153,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,qwen_off12_conc4_rep01,2
qwen_off8_conc8_trigger16_prefill_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,8,16,prefill_burst,1,20260718,571488100,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,qwen_off8_conc8_rep01,1
qwen_off8_conc8_trigger16_no_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,8,16,no_burst,1,20260718,1612876390,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,qwen_off8_conc8_rep01,2
qwen_off0_conc4_trigger16_prefill_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,4,16,prefill_burst,1,20260718,741407904,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,qwen_off0_conc4_rep01,1
qwen_off0_conc4_trigger16_no_burst_rep01,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,4,16,no_burst,1,20260718,32944917,779212667,725667126,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,qwen_off0_conc4_rep01,2
qwen_off0_conc8_trigger16_prefill_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,8,16,prefill_burst,2,20260718,1605015274,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,qwen_off0_conc8_rep02,1
qwen_off0_conc8_trigger16_no_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,8,16,no_burst,2,20260718,206770751,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,qwen_off0_conc8_rep02,2
qwen_off8_conc4_trigger16_prefill_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,4,16,prefill_burst,2,20260718,190553526,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,qwen_off8_conc4_rep02,1
qwen_off8_conc4_trigger16_no_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,4,16,no_burst,2,20260718,1861446420,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,qwen_off8_conc4_rep02,2
qwen_off12_conc8_trigger16_prefill_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,12,high,8,16,prefill_burst,2,20260718,2001741497,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,1,qwen_off12_conc8_rep02,1
qwen_off12_conc8_trigger16_no_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,12,high,8,16,no_burst,2,20260718,427113069,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,prefill_burst,0,qwen_off12_conc8_rep02,2
qwen_off0_conc4_trigger16_no_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,4,16,no_burst,2,20260718,965956768,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,qwen_off0_conc4_rep02,1
qwen_off0_conc4_trigger16_prefill_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,0,low,4,16,prefill_burst,2,20260718,1577421517,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,qwen_off0_conc4_rep02,2
qwen_off8_conc8_trigger16_no_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,8,16,no_burst,2,20260718,852538984,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,qwen_off8_conc8_rep02,1
qwen_off8_conc8_trigger16_prefill_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,8,intermediate,8,16,prefill_burst,2,20260718,252755364,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,0,qwen_off8_conc8_rep02,2
qwen_off12_conc4_trigger16_no_burst_rep02,qwen,Qwen/Qwen2.5-7B-Instruct,12,high,4,16,no_burst,2,20260718,645394943,1175779970,31054849,20,256,64,0.0,4,2048,16,0.0,2048,no_burst,1,qwen_off12_conc4_rep02,1
