file_path,file_name,parent_dir,source_subdir,experiment_id,server_config_label,model_name,offload_gb,run_concurrency,run_id,condition,role,input_len,output_len,temperature,window_secs,duration_s,drain_s,submitted,completed,failed,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_b_victim_plus_burst/offload4_conc2_run1.json,offload4_conc2_run1.json,cond_b_victim_plus_burst,cond_b_victim_plus_burst,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,1,cond_b,victim,256,64,0.0,300.0,507.441,207.606,4,4,0,1024,256,0.0079,0.5045,2.5225,9243.966308749805,8570.511529000214,7739.89257715603,8570.511529000214,17301.26469609495,17842.472916814368,3879.968140622984,3869.287997873009,38.57427635143699,3869.287997873009,3924.717362011876,3929.843975488065,3879.967364972207,4488.732462497865,1452.4294137521845,4488.732462497865,4535.987468451276,4568.383023696078,253681.9591679978,253681.3533814966,5916.895369273901,253681.3533814966,259862.09846979435,260403.31582275443
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_a_victim_only/offload4_conc2_run1.json,offload4_conc2_run1.json,cond_a_victim_only,cond_a_victim_only,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,1,cond_a,victim,256,64,0.0,300.0,304.345,4.527,19,19,0,4864,1140,0.0624,3.7457,19.7276,2479.066908000708,2308.3626000006916,529.3576704021256,2308.3626000006916,3882.1876217007225,3965.052685939736,500.092258185419,500.665143492081,13.030729652022028,500.665143492081,517.4913975285895,521.6916596199782,498.77180715254207,485.8608760041534,182.65867097579886,485.8608760041534,494.0011719954782,1908.0212449975077,31958.00831089544,33861.16151299939,5774.110259945539,33861.16151299939,34873.76906230129,34994.570210859674
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_b_victim_plus_burst/offload4_conc2_run2.json,offload4_conc2_run2.json,cond_b_victim_plus_burst,cond_b_victim_plus_burst,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,2,cond_b,victim,256,64,0.0,300.0,503.93,204.17,4,4,0,1024,256,0.0079,0.508,2.54,9299.46901375115,8634.112827501667,7687.809696533502,8634.112827501667,17310.801456851914,17852.998738571914,3815.6493166467935,3805.3047519444217,53.00521552191289,3805.3047519444217,3873.6677761824726,3878.6465756300836,3815.6484842817763,4490.831195998908,1511.3805138947475,4490.831195998908,4524.557570895922,4555.019937266552,249685.37596249918,249675.24705499818,4987.40587815043,249675.24705499818,254953.93606160142,255495.28861472165
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_a_victim_only/offload4_conc2_run2.json,offload4_conc2_run2.json,cond_a_victim_only,cond_a_victim_only,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,2,cond_a,victim,256,64,0.0,300.0,304.847,5.04,18,18,0,4608,1146,0.059,3.7593,18.8751,2792.8256089997176,2322.459410999727,767.497368459765,2322.459410999727,4025.975405898862,4036.135997179008,495.1531347497104,500.61569751582397,13.622111717308991,500.61569751582397,511.4126007651066,521.1896194800531,494.7200421223484,486.42736300098477,146.31843309475332,486.42736300098477,493.9352272023825,500.5264896285371,33822.13911561161,33925.155199500296,696.4244037133595,33925.155199500296,34386.472001151924,35126.614737831624
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_b_victim_plus_burst/offload4_conc2_run3.json,offload4_conc2_run3.json,cond_b_victim_plus_burst,cond_b_victim_plus_burst,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,3,cond_b,victim,256,64,0.0,300.0,499.021,199.189,4,4,0,1024,256,0.008,0.513,2.565,8113.488735747524,8114.454740498331,6178.442665926643,8114.454740498331,13466.799688795072,13467.699624954621,3831.2225929167034,3831.222029277833,65.23758571943465,3831.222029277833,3887.7215396880997,3887.722067785239,3831.221775992076,4505.407854998339,1551.975621770957,4505.407854998339,4762.025806498787,5364.268221196398,249480.51208949983,249481.37497800053,2068.479567072674,249481.37497800053,251274.53375869954,251275.4499205394
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_a_victim_only/offload4_conc2_run3.json,offload4_conc2_run3.json,cond_a_victim_only,cond_a_victim_only,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,3,cond_a,victim,256,64,0.0,300.0,324.588,24.754,21,21,0,5376,1201,0.0647,3.7001,20.2626,2881.499446570593,2330.0018699956127,813.2350765800318,2330.0018699956127,4019.043148000492,4036.850022402359,500.72343561149387,503.2204502063068,19.552086931077554,503.2204502063068,529.8619349090255,537.7629578262394,496.66528900084137,486.99572600162355,162.23809626765072,486.99572600162355,496.39336849650135,1904.7239733969036,30858.86730614168,34134.56200899964,8432.372900174683,34134.56200899964,35076.26084700314,36052.221195002494
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_b_victim_plus_burst/offload4_conc2_run4.json,offload4_conc2_run4.json,cond_b_victim_plus_burst,cond_b_victim_plus_burst,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,4,cond_b,victim,256,64,0.0,300.0,508.125,208.364,4,4,0,1024,256,0.0079,0.5038,2.5191,11492.349564250617,10828.007601001445,10265.673622934428,10828.007601001445,21783.57817085307,22320.667810973173,3814.154787960289,3824.750238190424,29.364615092173448,3824.750238190424,3834.731319700748,3834.7707246893165,3814.153787773807,4489.332513501722,1508.7244292858936,4489.332513501722,4526.542295897525,4530.027685801106,251784.1012057488,251787.27260699816,11851.577186544357,251787.27260699816,263371.6513120002,263911.2234664001
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_a_victim_only/offload4_conc2_run4.json,offload4_conc2_run4.json,cond_a_victim_only,cond_a_victim_only,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,4,cond_a,victim,256,64,0.0,300.0,315.281,15.443,21,21,0,5376,1176,0.0666,3.73,20.7815,2701.800695476344,2324.0225940025994,668.1706585276177,2324.0225940025994,4009.090647996345,4011.0497568020946,494.45606476342834,499.1730718571085,54.68813711488335,499.1730718571085,535.0157327272675,552.4728871019661,486.386498175758,485.94020400196314,177.48111671283624,485.94020400196314,493.19530069842585,1899.567466560402,29546.19581514271,33718.45460199984,8608.953985521528,33718.45460199984,34458.1086840044,35060.04925039888
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_b_victim_plus_burst/offload4_conc2_run5.json,offload4_conc2_run5.json,cond_b_victim_plus_burst,cond_b_victim_plus_burst,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,5,cond_b,victim,256,64,0.0,300.0,493.703,193.93,4,4,0,1024,256,0.0081,0.5185,2.5926,10364.186573749976,10365.12633950042,8785.752281296833,10365.12633950042,17975.51381124722,17976.42035664656,3753.2764462975756,3753.277401007908,18.94392845982318,3753.277401007908,3769.682500079326,3769.682544841225,3753.2757650436297,4490.3821959997,1555.2392888005234,4490.3821959997,4524.854498449713,4527.492881899889,246820.60269049727,246821.61435299713,9979.219606943227,246821.61435299713,255465.4948662468,255466.3985916465
/home/rock/projects/porto/new_runs/attack/bench_runs_offload_paper1_utility_calib_offload4_20260415_185400/cond_a_victim_only/offload4_conc2_run5.json,offload4_conc2_run5.json,cond_a_victim_only,cond_a_victim_only,offload_paper1_utility_calib,llama31_8b_offload4,meta-llama/Llama-3.1-8B-Instruct,4,2,5,cond_a,victim,256,64,0.0,300.0,305.082,5.278,18,18,0,4608,1152,0.059,3.776,18.8802,3017.1515796108806,2857.887641501293,839.2392049235382,2857.887641501293,4006.884014447496,4011.0114124914253,489.5645097292854,486.0345711667111,13.281410759930047,486.0345711667111,507.5993966699094,508.00872113710545,489.5638321463971,483.61757100428804,122.61373511695824,483.61757100428804,495.6825856472278,514.6125733206285,33859.71569255585,33712.09658750013,272.35749999423837,33712.09658750013,34307.26346885058,34307.268948967976
