model,concurrency,metric,excluded_repeat,analysis_status,full_normalized_log_did,leave_one_repeat_out_log_did,leave_one_repeat_out_ratio,same_direction_as_full
llama,4,victim_median_tpot_ms,1,ok,0.03568888448787133,-0.002141491729514833,0.997860799627966,False
llama,4,victim_median_tpot_ms,2,ok,0.03568888448787133,0.012424387395904901,1.01250189074158,True
llama,4,victim_median_tpot_ms,3,ok,0.03568888448787133,-0.027470160057757376,0.9729037135109296,False
llama,4,victim_median_tpot_ms,4,ok,0.03568888448787133,-0.0004709701477594308,0.9995291407412714,False
llama,4,victim_median_tpot_ms,5,ok,0.03568888448787133,0.012527287443091506,1.0126060825944951,True
llama,4,victim_median_itl_ms,1,ok,-0.01605239347880083,-0.016223648771559684,0.9839072457996823,True
llama,4,victim_median_itl_ms,2,ok,-0.01605239347880083,-0.01594992368240611,0.9841766027614549,True
llama,4,victim_median_itl_ms,3,ok,-0.01605239347880083,-0.017331989305251483,0.9828173456196141,True
llama,4,victim_median_itl_ms,4,ok,-0.01605239347880083,-0.01725555262351053,0.9828924717874317,True
llama,4,victim_median_itl_ms,5,ok,-0.01605239347880083,-0.01671466779430597,0.9834242472158272,True
llama,4,victim_p95_itl_ms,1,ok,-0.015609573260511489,-0.016579869189163432,0.9835568203677525,True
llama,4,victim_p95_itl_ms,2,ok,-0.015609573260511489,-0.015642911731210685,0.984478803127778,True
llama,4,victim_p95_itl_ms,3,ok,-0.015609573260511489,-0.016852654470084882,0.9832885571350004,True
llama,4,victim_p95_itl_ms,4,ok,-0.015609573260511489,-0.01720069715497541,0.9829463902933401,True
llama,4,victim_p95_itl_ms,5,ok,-0.015609573260511489,-0.016703562561354968,0.9834351684318234,True
llama,4,victim_itl_iqr_ms,1,ok,-0.5788677414949679,-0.5221668323197806,0.593233716309785,True
llama,4,victim_itl_iqr_ms,2,ok,-0.5788677414949679,-0.6900262180396303,0.5015629188971857,True
llama,4,victim_itl_iqr_ms,3,ok,-0.5788677414949679,-0.518668345067278,0.5953127715576563,True
llama,4,victim_itl_iqr_ms,4,ok,-0.5788677414949679,-0.4908531702065499,0.6121039424989491,True
llama,4,victim_itl_iqr_ms,5,ok,-0.5788677414949679,-0.5748219029439159,0.5628050938121587,True
llama,4,victim_median_ttft_ms,1,ok,-0.17646824467070932,-0.1419761159487054,0.8676419790439766,True
llama,4,victim_median_ttft_ms,2,ok,-0.17646824467070932,0.03509230955836973,1.0357153108100032,False
llama,4,victim_median_ttft_ms,3,ok,-0.17646824467070932,0.07476130992070917,1.0776269013338697,False
llama,4,victim_median_ttft_ms,4,ok,-0.17646824467070932,-0.1419761159487054,0.8676419790439766,True
