episode_id,block_id,model,state_label,offload_gb,concurrency,condition,repeat,order_in_block,victim_workload_seed,burst_workload_seed,victim_median_tpot_ms,victim_p95_tpot_ms,victim_itl_complete,victim_itl_available_request_count,victim_median_itl_ms,victim_p95_itl_ms,victim_itl_iqr_ms,victim_median_ttft_ms,victim_p95_ttft_ms,victim_median_e2el_ms,victim_p95_e2el_ms,victim_goodput_tokens_per_s,victim_success_rate,victim_timeout_rate,victim_failure_rate,victim_complete_output_tokens,burst_request_count,burst_output_tokens,trigger_waited_ms
llama_off12_conc4_fixed_burst_rep1,llama_block02_high,llama,high,12,4,fixed_burst,1,1,770375562,957757185,1438.1313312380953,1537.4163628753968,True,20,1402.5752235,1404.3111166,2.0220904999998766,10493.6798785,12724.74736525,101110.78216249999,103420.46286525,2.537864877507113,1.0,0.0,0.0,1280,4,1024,10068.74
llama_off12_conc4_fixed_burst_rep2,llama_block03_high,llama,high,12,4,fixed_burst,2,2,1689030126,332591840,1464.9213291269841,1567.9081377492064,True,20,1408.5150669999998,1410.2338074499999,2.195873749999919,8480.376721,11731.12452935,100474.8067515,104011.83240405,2.5388531121479594,1.0,0.0,0.0,1280,4,1024,8978.822745
llama_off12_conc4_fixed_burst_rep3,llama_block06_high,llama,high,12,4,fixed_burst,3,2,43940883,1004375871,1471.4600182460317,1575.6377412555557,True,20,1416.184941,1417.95245135,2.1860062499999913,8526.565678,11786.01806205,101011.69657100001,104537.28587165,2.526418212866469,1.0,0.0,0.0,1280,4,1024,9031.117892
llama_off12_conc4_fixed_burst_rep4,llama_block07_high,llama,high,12,4,fixed_burst,4,1,1728461764,2122677335,1450.614684015873,1550.2360167230158,True,20,1415.0889845000002,1417.00554735,2.202378250000038,10551.673388,12832.274042500001,101989.3474875,104298.5278202,2.5167270724494033,1.0,0.0,0.0,1280,4,1024,10169.576459
llama_off12_conc4_fixed_burst_rep5,llama_block10_high,llama,high,12,4,fixed_burst,5,2,626585083,71722319,1470.0774904126984,1574.34700875873,True,20,1414.636377,1416.4891765,2.0907099999999446,8518.150363,11776.542374550001,100905.604036,104444.8059838,2.5288689504397905,1.0,0.0,0.0,1280,4,1024,9018.744686
llama_off12_conc4_no_burst_rep1,llama_block02_high,llama,high,12,4,no_burst,1,4,770375562,957757185,1425.5290248650792,1455.4868268095238,True,20,1395.81707,1397.4335645499998,1.1125589999999193,7768.8822965,10326.20119155,98255.84485250001,98276.8820277,2.6124033382436855,1.0,0.0,0.0,1280,0,0,8936.244085
llama_off12_conc4_no_burst_rep2,llama_block03_high,llama,high,12,4,no_burst,2,4,1689030126,332591840,1431.9829982619049,1461.9655786349208,True,20,1402.2724915,1404.0135790000002,1.4976322500001515,7793.1838575,10378.1539328,97314.025395,98719.31464834999,2.6153886133427795,1.0,0.0,0.0,1280,0,0,8986.066995
llama_off12_conc4_no_burst_rep3,llama_block06_high,llama,high,12,4,no_burst,3,3,43940883,1004375871,1436.7775956587302,1466.8734404357144,True,20,1406.8892915000001,1408.26489965,1.2843100000002323,7845.003060499999,10426.345917,99049.630403,99062.02025885,2.5915846112468155,1.0,0.0,0.0,1280,0,0,9035.697765
llama_off12_conc4_no_burst_rep4,llama_block07_high,llama,high,12,4,no_burst,4,2,1728461764,2122677335,1441.0276868968253,1441.2323362380955,True,20,1405.701664,1407.3783845500002,1.2130332500000804,7054.191010500001,10158.65399155,97842.711332,97854.9574746,2.6161162460539304,1.0,0.0,0.0,1280,0,0,10170.241829
llama_off12_conc4_no_burst_rep5,llama_block10_high,llama,high,12,4,no_burst,5,1,626585083,71722319,1435.7403672619048,1465.811540715873,True,20,1405.783986,1407.302322,1.3266927499998928,7835.870916,10414.396878500002,98967.0228755,98983.9809349,2.5936139958628597,1.0,0.0,0.0,1280,0,0,9024.505255
