model,concurrency,metric,metric_kind,primary_metric,analysis_status,n_episodes_per_cell,low_no_burst_complete_episodes,low_fixed_burst_complete_episodes,high_no_burst_complete_episodes,high_fixed_burst_complete_episodes,low_no_burst_median,low_fixed_burst_median,low_degradation_factor,low_degradation_factor_ci_low,low_degradation_factor_ci_high,high_no_burst_median,high_fixed_burst_median,high_degradation_factor,high_degradation_factor_ci_low,high_degradation_factor_ci_high,normalized_log_did,normalized_log_did_ci_low,normalized_log_did_ci_high,degradation_factor_ratio_high_over_low,ratio_ci_low,ratio_ci_high,direction,ci_excludes_no_interaction,bootstrap_probability_high_more_sensitive,practical_ratio_threshold,point_practically_relevant,ci_entirely_beyond_practical_threshold,bootstrap_iterations
llama,4,victim_median_tpot_ms,latency,True,ok,5,5,5,5,5,21.286938499999998,20.958109785714285,0.9845525595761123,0.9824003221013407,1.1091993591199978,1435.7403672619048,1464.9213291269841,1.0203246788419906,1.0016653177905346,1.0276334634895519,0.03568888448787133,-0.09071126610463631,0.043861972249244374,1.0363333769415821,0.9132813681210264,1.0448381282782855,high_more_sensitive,False,0.49445,1.5,False,False,100000
llama,4,victim_median_itl_ms,latency,False,ok,5,5,5,5,5,20.436419,20.899116499999998,1.0226408305682129,1.0221515325165333,1.023934008286623,1405.701664,1414.636377,1.0063560520904384,0.9977758861783634,1.0134826456879475,-0.01605239347880083,-0.02461492189398573,-0.009132618559776873,0.9840757595521333,0.9756855548433034,0.9909089571398365,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,4,victim_p95_itl_ms,latency,False,ok,5,5,5,5,5,20.62990805,21.09124905,1.02236272691482,1.0194242493616348,1.0290201487349817,1407.302322,1416.4891765,1.0065279893000842,0.9978745111457293,1.0136361487468186,-0.015609573260511489,-0.02538331493586199,-0.009319710617778032,0.9845116246926174,0.9749361328141124,0.9907235832852822,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,4,victim_itl_iqr_ms,latency,False,ok,5,5,5,5,5,0.10086550000000116,0.3062832499999999,3.0365511497984574,2.0810033524076,3.8993602494488124,1.2843100000002323,2.1860062499999913,1.7020861396388691,1.4596415441773307,1.9648452351741794,-0.5788677414949679,-0.8983321877673283,-0.16866579383477343,0.5605326752858553,0.407248307363641,0.8447911906365769,low_more_sensitive,True,0.0,1.5,True,False,100000
llama,4,victim_median_ttft_ms,latency,False,ok,5,5,5,5,5,207.138824,270.3708775,1.305264132908276,0.9548172706414745,1.3733688177456875,7793.1838575,8526.565678,1.0941055458090103,1.0858058686923069,1.3581970977670335,-0.17646824467070932,-0.22584652531194216,0.3414222284843458,0.8382253968560521,0.7978405405978837,1.4069471686373016,low_more_sensitive,False,0.47781,1.5,False,False,100000
llama,4,victim_p95_ttft_ms,latency,False,ok,5,5,5,5,5,267.16802095,299.00158235,1.1191518404291265,1.0499148179831177,1.19922601818412,10378.1539328,11786.01806205,1.1356565086976083,1.129498528851657,1.2426906859998772,0.014639792381502481,-0.05019374854610792,0.1546467979909334,1.0147474790035222,0.9510451430354114,1.16724561479242,high_more_sensitive,False,0.95997,1.5,False,False,100000
llama,4,victim_median_e2el_ms,latency,False,ok,5,5,5,5,5,1547.9961655,1608.402072,1.0390220000838892,1.0318945494092502,1.0521023286733717,98255.84485250001,101011.69657100001,1.0280477128117633,1.0187378148252395,1.039015514486108,-0.010618306982698833,-0.02475994657621783,0.0030945781253866045,0.989437868234513,0.9755440666156445,1.0030993712752574,low_more_sensitive,False,0.05961,1.5,False,False,100000
llama,4,victim_p95_e2el_ms,latency,False,ok,5,5,5,5,5,1561.0148047500002,1795.58017065,1.1502646644902037,1.1426620394873201,1.1622360083833785,98719.31464834999,104298.5278202,1.0565159228639696,1.047621361976084,1.0658481748078283,-0.08501542963724962,-0.09816743437952091,-0.07270753640958194,0.918498112199436,0.906497112265189,0.9298727441827548,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,4,victim_goodput_tokens_per_s,goodput,False,ok,5,5,5,5,5,164.49416602118566,155.857485555608,1.0554139599698351,1.047429801149368,1.0630834042481756,2.6124033382436855,2.5288689504397905,1.0330323118520506,1.0215691421661535,1.0380161467811309,-0.021434599813053512,-0.034989139641356415,-0.012500068062523018,0.978793488653093,0.9656159031356407,0.987577733276847,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,8,victim_median_tpot_ms,latency,True,ok,5,5,5,5,5,20.879808277777776,22.972838936507937,1.1002418523621098,1.069509805851017,1.1594768817403642,1414.8448847857144,1502.1535532619046,1.0617090038738863,1.0362046197195895,1.0721637697477353,-0.03565014380003806,-0.10718564617421045,-0.007320540508359841,0.9649778379130941,0.8983588806193469,0.9927061893827859,low_more_sensitive,True,0.00377,1.5,False,False,100000
