model,concurrency,metric,metric_kind,primary_metric,analysis_status,n_episodes_per_cell,low_no_burst_complete_episodes,low_fixed_burst_complete_episodes,high_no_burst_complete_episodes,high_fixed_burst_complete_episodes,low_no_burst_median,low_fixed_burst_median,low_degradation_factor,low_degradation_factor_ci_low,low_degradation_factor_ci_high,high_no_burst_median,high_fixed_burst_median,high_degradation_factor,high_degradation_factor_ci_low,high_degradation_factor_ci_high,normalized_log_did,normalized_log_did_ci_low,normalized_log_did_ci_high,degradation_factor_ratio_high_over_low,ratio_ci_low,ratio_ci_high,direction,ci_excludes_no_interaction,bootstrap_probability_high_more_sensitive,practical_ratio_threshold,point_practically_relevant,ci_entirely_beyond_practical_threshold,bootstrap_iterations
llama,8,victim_median_itl_ms,latency,False,ok,5,5,5,5,5,20.871071,22.288777000000003,1.067926844769969,1.0665240752433203,1.0691890517539353,1414.4882495,1430.2085339999999,1.0111137611115228,1.0019721835801652,1.0197683485239584,-0.05466678372287381,-0.06387838350984332,-0.04614374857282977,0.946800584762261,0.9381190833436177,0.9549046861385119,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,8,victim_p95_itl_ms,latency,False,ok,5,5,5,5,5,21.1323415,22.77689905,1.0778218329473805,1.0700767091994987,1.0838722757098531,1416.3545980499998,1431.75549445,1.0108736162689798,1.0019598919323043,1.019579506055548,-0.06412725968019917,-0.07338625440457225,-0.05335891719944863,0.9378856369096495,0.9292418369464935,0.9480396836627919,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,8,victim_itl_iqr_ms,latency,False,ok,5,5,5,5,5,0.22575349999999972,0.4247630000000022,1.8815345055558508,1.093380612039248,2.5703018677174403,1.9829432500002895,1.9493379999998979,0.983052843292219,0.8884084302462568,1.1629267242444141,-0.6491800733855986,-0.9674391458600431,0.021582511847910824,0.5224739915156653,0.3800550585409872,1.0218170988761626,low_more_sensitive,False,0.0281,1.5,True,False,100000
llama,8,victim_median_ttft_ms,latency,False,ok,5,5,5,5,5,454.2245345,480.480946,1.0578049169644752,0.9999601248787244,1.0796571370585004,16931.407993499997,16897.6607715,0.9980068271928146,0.8706610251314526,1.1513527697180799,-0.05819108975157938,-0.21368582706925032,0.09541411427462698,0.9434696428304948,0.8076020718796251,1.100114333858844,low_more_sensitive,False,0.23203,1.5,False,False,100000
llama,8,victim_p95_ttft_ms,latency,False,ok,5,5,5,5,5,494.73856920000003,519.0208874000001,1.0490811101290625,1.0270487595321018,1.0593441257080842,18297.54545235,19725.2476245,1.078026977764201,0.9886186117149426,1.103112395004858,0.027217850122563725,-0.06349776032832288,0.06537494878074757,1.0275916393457676,0.9384762211769224,1.0675592293827487,high_more_sensitive,False,0.68347,1.5,False,False,100000
llama,8,victim_median_e2el_ms,latency,False,ok,5,5,5,5,5,1789.1081884999999,1931.3495245,1.0795040439221604,1.0598300919993107,1.0831495291401727,106114.7278445,109771.0839995,1.0344566322627533,1.009897005525622,1.0443414818388566,-0.042625421194969704,-0.06832307323493936,-0.02204470893876219,0.9582702705811678,0.9339586877758215,0.9781964999461288,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,8,victim_p95_e2el_ms,latency,False,ok,5,5,5,5,5,1824.60835985,2128.9199335,1.1667818586970726,1.1195676607586467,1.173879497693761,107481.83897825,113413.56331015,1.0551881544667323,1.0380205132195883,1.0819845018034688,-0.1005303144867753,-0.11947310700664016,-0.0548069556526114,0.9043576968577868,0.8873878720143089,0.946667879198233,low_more_sensitive,True,0.0,1.5,False,False,100000
llama,8,victim_goodput_tokens_per_s,goodput,False,ok,5,5,5,5,5,247.32963038392631,225.31140469668279,1.0977235294275707,1.0802141817646382,1.102054715671197,4.0948877974185915,3.9464489441484267,1.0376132709103616,1.0156349561658833,1.0532876985545618,-0.05631537274473786,-0.0794609444168608,-0.03556364953948443,0.9452409856345568,0.9236140915511446,0.9650613065673628,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,4,victim_median_tpot_ms,latency,True,ok,5,5,5,5,5,19.157850952380954,19.517713706349205,1.0187840877801344,0.9754456493984055,1.0968428418599925,1490.2296561111111,1559.1655988333334,1.046258603457213,1.0224283075410832,1.0479246310815644,0.026610720514032682,-0.04734622347718975,0.06995052190851192,1.0269679473861275,0.9537571273109959,1.0724551169090748,high_more_sensitive,False,0.94322,1.5,False,False,100000
qwen,4,victim_median_itl_ms,latency,False,ok,5,5,5,5,5,19.133557000000003,19.480092,1.0181113736457885,1.015582628139799,1.019259173816975,1489.2319029999999,1493.6954555,1.0029972178886368,1.0014166884517086,1.0038922816196958,-0.014956581325330731,-0.016834321840788924,-0.012188074711735553,0.9851547127864518,0.9833065835648448,0.9878858990333488,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,4,victim_p95_itl_ms,latency,False,ok,5,5,5,5,5,19.39476045,19.803978,1.021099386664505,1.0159613494994206,1.02398671286502,1491.0054183,1495.5399568999999,1.0030412623216154,1.0016362752045869,1.0039001989058571,-0.01784322987912068,-0.02103887307943353,-0.012683717767019598,0.9823150179319196,0.9791809000527143,0.9873963815710666,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,4,victim_itl_iqr_ms,latency,False,ok,5,5,5,5,5,0.13478050000000152,0.23807749999999928,1.766409087367954,1.4378180061298766,2.0840576220397646,1.3148322500001086,2.0716882500000793,1.5756293245772668,1.452017738384432,1.7896547259165563,-0.1142939580266581,-0.31894109680282945,0.12315891677547264,0.8919957080412445,0.7269183658611411,1.131064151733839,low_more_sensitive,False,0.14365,1.5,False,False,100000
qwen,4,victim_median_ttft_ms,latency,False,ok,5,5,5,5,5,239.1216275,252.073037,1.054162434554357,0.85632206354902,1.2686949316147478,11689.759825000001,9210.896370999999,0.7879457327516136,0.6968749400908444,1.1153607248441497,-0.2910726092876601,-0.4854824651479843,0.059432618900243206,0.7474614034076396,0.6154002159723363,1.0612342514394062,low_more_sensitive,False,0.26479,1.5,False,False,100000
qwen,4,victim_p95_ttft_ms,latency,False,ok,5,5,5,5,5,256.521088,291.70088665000003,1.1371419360657007,1.0477113359194854,1.1600440834102883,13178.13116705,13009.54204635,0.9872069022107232,0.9835919857711929,1.1688179069346398,-0.14139367495909028,-0.1607206241845649,0.06103625405665891,0.8681474764938097,0.8515299347488174,1.0629374492831754,low_more_sensitive,False,0.31005,1.5,False,False,100000
qwen,4,victim_median_e2el_ms,latency,False,ok,5,5,5,5,5,1454.8914479999999,1511.391016,1.038834215485745,1.0282463661165187,1.0403801473082348,106926.3312435,107127.5569845,1.0018819100838843,1.000119093489846,1.0215496421716481,-0.036218996264752334,-0.03854375123005749,-0.014433294842343791,0.9644290639920996,0.962189606840059,0.9856703658366727,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,4,victim_p95_e2el_ms,latency,False,ok,5,5,5,5,5,1467.9036881499999,1689.3109927,1.1508323102785034,1.1361577112005772,1.1553989499706634,106955.15620775,111313.5685199,1.0407499036669559,1.0387939699813722,1.0612838162659537,-0.10054391413232278,-0.10561124081109252,-0.07115453789472515,0.9043453979972916,0.8997743756480925,0.9313179570897613,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,4,victim_goodput_tokens_per_s,goodput,False,ok,5,5,5,5,5,175.2374187225664,166.05375764181355,1.0553053493710303,1.0499860084900268,1.0570387192164492,2.4129562591683356,2.3806952859264756,1.0135510720051286,1.0065663330150265,1.0281368743289225,-0.04037007837724316,-0.047884895079345124,-0.023745286965528578,0.9604339375415963,0.9532435037807848,0.9765344141263304,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,8,victim_median_tpot_ms,latency,True,ok,5,5,5,5,5,19.488568404761907,22.197978031746032,1.1390255851898334,1.0718181381691791,1.1422970940295463,1493.9294335873017,1591.3362054841268,1.0652017221877257,1.0406503807637675,1.0667669505575599,-0.06700895533560258,-0.09028199863819708,-0.005749728219615502,0.9351868263873949,0.9136734942575411,0.9942667698327672,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,8,victim_median_itl_ms,latency,False,ok,5,5,5,5,5,19.472706000000002,19.882458999999997,1.0210424272825769,1.0189165871611927,1.0233146333129044,1493.5883724999999,1503.43464,1.006592356824202,1.0055427995995798,1.0084799756816551,-0.014253370684691902,-0.016475253529811607,-0.010991713074415266,0.985847727702332,0.9836597211954503,0.9890684750782588,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,8,victim_p95_itl_ms,latency,False,ok,5,5,5,5,5,19.7179085,20.3480985,1.0319602862544979,1.0240083018946962,1.036452704910361,1495.4714680000002,1505.171826,1.0064864881795252,1.0056134172896622,1.0083138745305176,-0.02499464256060513,-0.02915938153576425,-0.01650937480729553,0.9753151372060743,0.9712616509561667,0.9836261580417658,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,8,victim_itl_iqr_ms,latency,False,ok,5,5,5,5,5,0.21770599999999973,0.2843130000000045,1.305949307782077,1.0149329830137999,2.27202749003595,1.9292512500001067,1.9599857500002145,1.0159307918033518,0.8738232828773556,1.1197698227838848,-0.2511249867003361,-0.8689284866068862,0.025217339144973594,0.7779251351867017,0.4194007020373643,1.025537985853855,low_more_sensitive,False,0.03372,1.5,False,False,100000
qwen,8,victim_median_ttft_ms,latency,False,ok,5,5,5,5,5,427.71602900000005,453.597307,1.060510423377189,1.0062959294905869,1.0972275100309603,17258.601546500002,17244.264899499998,0.9991693042474273,0.8915948103214694,1.1216935775671764,-0.059581364684291316,-0.17707535125048057,0.05596575659946268,0.9421588720133262,0.8377166591469206,1.0575614686155876,low_more_sensitive,False,0.04325,1.5,False,False,100000
qwen,8,victim_p95_ttft_ms,latency,False,ok,5,5,5,5,5,471.00277520000003,490.93373675,1.0423160172284271,1.0048166547092225,1.0638735949851368,18724.90409075,20554.95598785,1.0977335792071716,0.9890925267600643,1.1372513478704338,0.05180249491611111,-0.05563778265308894,0.08879310289179543,1.053167715992797,0.9458816886031212,1.0928545244933197,high_more_sensitive,False,0.68877,1.5,False,False,100000
qwen,8,victim_median_e2el_ms,latency,False,ok,5,5,5,5,5,1677.5830839999999,1747.0510669999999,1.0414095633548959,1.0257546609055417,1.0471065622581974,111450.436818,115279.3148195,1.034354984249659,1.0169193457078431,1.0426855119757736,-0.006797116054370278,-0.028065308112585008,0.008349432591769457,0.9932259320890905,0.9723248640259573,1.0083843863176063,low_more_sensitive,False,0.15038,1.5,False,False,100000
qwen,8,victim_p95_e2el_ms,latency,False,ok,5,5,5,5,5,1711.5072925,1952.6118861999998,1.1408726651394037,1.1236103576630831,1.1485119382569027,112928.5406735,119511.1483691,1.0582900270944942,1.0401239792839385,1.0783157814889341,-0.075139041741763,-0.09539211094122457,-0.05511954598548119,0.9276145002257385,0.9090164292903311,0.9463720062166834,low_more_sensitive,True,0.0,1.5,False,False,100000
qwen,8,victim_goodput_tokens_per_s,goodput,False,ok,5,5,5,5,5,263.54022913771644,246.0219540681417,1.0712061455487942,1.0582480530592515,1.0775945614466265,3.884731509568829,3.743925603869712,1.0376091623064252,1.0199575287426679,1.0497071595189418,-0.031866068179096985,-0.0517327857214227,-0.019074378009555026,0.9686363046160859,0.9495825749668826,0.9811063867887441,low_more_sensitive,True,0.0,1.5,False,False,100000
