model,concurrency,state_label,condition,metric,analysis_status,n_episodes,n_episodes_total,median,mean,sample_sd,iqr,min,max
llama,4,low,fixed_burst,victim_p95_itl_ms,ok,5,5,21.09124905,21.12090191,0.061552281127037804,0.024293449999998273,21.079538,21.228591050000002
llama,4,low,fixed_burst,victim_itl_iqr_ms,ok,5,5,0.3062832499999999,0.2768654500000004,0.05806515860743266,0.10689724999999939,0.21074424999999763,0.3263940000000005
llama,4,low,fixed_burst,victim_median_ttft_ms,ok,5,5,270.3708775,265.5398587,16.027293905233506,30.545528999999988,248.253597,280.86053100000004
llama,4,low,fixed_burst,victim_p95_ttft_ms,ok,5,5,299.00158235,297.13976033999995,15.339802202511285,16.55347015000001,283.01257975,320.39484195
llama,4,low,fixed_burst,victim_median_e2el_ms,ok,5,5,1608.402072,1610.4375243,11.08681966467369,9.283407999999781,1600.9225529999999,1628.6503705
llama,4,low,fixed_burst,victim_p95_e2el_ms,ok,5,5,1795.58017065,1798.9563533800003,11.763418329193758,12.39766224999994,1783.922207,1814.2676157
llama,4,low,fixed_burst,victim_goodput_tokens_per_s,ok,5,5,155.857485555608,155.98614466049352,0.9054977595211515,1.3858583100451085,154.8037812940039,156.8935705508145
llama,4,low,fixed_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
llama,4,low,fixed_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,4,low,fixed_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,4,high,no_burst,victim_median_tpot_ms,ok,5,5,1435.7403672619048,1434.211534588889,5.825252790779988,4.794597396825338,1425.5290248650792,1441.0276868968253
llama,4,high,no_burst,victim_median_itl_ms,ok,5,5,1405.701664,1403.2929006000002,4.524128451539982,3.511494500000026,1395.81707,1406.8892915000001
llama,4,high,no_burst,victim_p95_itl_ms,ok,5,5,1407.302322,1404.8785499500002,4.4656239938828515,3.3648055500000282,1397.4335645499998,1408.26489965
llama,4,high,no_burst,victim_itl_iqr_ms,ok,5,5,1.2843100000002323,1.2868454500000552,0.14304659940098668,0.1136594999998124,1.1125589999999193,1.4976322500001515
llama,4,high,no_burst,victim_median_ttft_ms,ok,5,5,7793.1838575,7659.4262282,339.7620091944351,66.98861949999991,7054.191010500001,7845.003060499999
llama,4,high,no_burst,victim_p95_ttft_ms,ok,5,5,10378.1539328,10340.75038228,108.9956444413933,88.19568695000089,10158.65399155,10426.345917
llama,4,high,no_burst,victim_median_e2el_ms,ok,5,5,98255.84485250001,98285.84697160001,739.7756824055908,1124.3115434999927,97314.025395,99049.630403
llama,4,high,no_burst,victim_p95_e2el_ms,ok,5,5,98719.31464834999,98579.43106887999,508.0645252588368,707.0989071999938,97854.9574746,99062.02025885
llama,4,high,no_burst,victim_goodput_tokens_per_s,ok,5,5,2.6124033382436855,2.6058213609500145,0.01217111547092873,0.021774617479919822,2.5915846112468155,2.6161162460539304
llama,4,high,no_burst,victim_success_rate,ok,5,5,1.0,1.0,0.0,0.0,1.0,1.0
llama,4,high,no_burst,victim_timeout_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,4,high,no_burst,victim_failure_rate,ok,5,5,0.0,0.0,0.0,0.0,0.0,0.0
llama,4,high,fixed_burst,victim_median_tpot_ms,ok,5,5,1464.9213291269841,1459.0409706079367,14.307615579291296,19.462806396825272,1438.1313312380953,1471.4600182460317
llama,4,high,fixed_burst,victim_median_itl_ms,ok,5,5,1414.636377,1411.4001186,5.77013695071365,6.573917500000334,1402.5752235,1416.184941
llama,4,high,fixed_burst,victim_p95_itl_ms,ok,5,5,1416.4891765,1413.19841985,5.824457064256306,6.771739900000057,1404.3111166,1417.95245135
llama,4,high,fixed_burst,victim_itl_iqr_ms,ok,5,5,2.1860062499999913,2.1394117499999536,0.07978082656746883,0.10516374999997424,2.0220904999998766,2.202378250000038
llama,4,high,fixed_burst,victim_median_ttft_ms,ok,5,5,8526.565678,9314.0892057,1103.6119357342309,1975.5295154999985,8480.376721,10551.673388
llama,4,high,fixed_burst,victim_p95_ttft_ms,ok,5,5,11786.01806205,12170.14127474,557.048955941755,948.2049906999982,11731.12452935,12832.274042500001
