model,metric,aggregation,analysis_status,conc4_normalized_log_did,conc8_normalized_log_did,direction_consistent_across_concurrency,reportable_under_prespecified_rule,aggregated_normalized_log_did,aggregated_log_did_ci_low,aggregated_log_did_ci_high,aggregated_degradation_factor_ratio,aggregated_ratio_ci_low,aggregated_ratio_ci_high,direction,note
llama,victim_median_tpot_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,0.03568888448787133,-0.03565014380003806,False,False,1.9370343916635946e-05,-0.08315194705443374,0.007096619349377606,1.000019370531523,0.9202113131982128,1.0071218600249678,high_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_median_itl_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.01605239347880083,-0.05466678372287381,True,True,-0.03535958860083732,-0.04109764724240164,-0.030884326514122037,0.9652582579777943,0.9597354098559114,0.9695877221812511,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_p95_itl_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.015609573260511489,-0.06412725968019917,True,True,-0.03986841647035533,-0.04657978322375822,-0.03400411461752051,0.9609158715359994,0.9544884053700368,0.966567527573641,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_itl_iqr_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.5788677414949679,-0.6491800733855986,True,True,-0.6140239074402832,-0.8501530237400053,-0.19886251006044064,0.5411688684981381,0.42734953232128114,0.8196625809447547,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_median_ttft_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.17646824467070932,-0.05819108975157938,True,True,-0.11732966721114435,-0.20397345605705608,0.15081375024321153,0.8892919744286627,0.8154840170612285,1.1627800704074336,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_p95_ttft_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,0.014639792381502481,0.027217850122563725,True,True,0.020928821252033103,-0.025185532429560453,0.09670335482989412,1.0211493649174024,0.9751289771959382,1.1015335605392025,high_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_median_e2el_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.010618306982698833,-0.042625421194969704,True,True,-0.02662186408883427,-0.04290359925776669,-0.014759381473065592,0.9737293739619549,0.9580037378871545,0.9853490043067715,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_p95_e2el_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.08501542963724962,-0.1005303144867753,True,True,-0.09277287206201246,-0.10462839498061749,-0.06949959878508097,0.9114004813016652,0.90065914986867,0.932860507662034,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
llama,victim_goodput_tokens_per_s,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.021434599813053512,-0.05631537274473786,True,True,-0.038874986278895685,-0.05370103530238485,-0.027844054661925632,0.961870948696932,0.9477153975999382,0.9725400180581932,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
qwen,victim_median_tpot_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,0.026610720514032682,-0.06700895533560258,False,False,-0.02019911741078495,-0.05732444773469125,0.0101615004118571,0.9800035181149147,0.9442876476721149,1.0102133037751153,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
qwen,victim_median_itl_ms,equal_weight_mean_of_concurrency_specific_log_did,ok,-0.014956581325330731,-0.014253370684691902,True,True,-0.014604976005011316,-0.01594011130055708,-0.0123808779619085,0.9855011593274596,0.9841862599254679,0.9876954497814225,low_more_sensitive,Report only when direction_consistent_across_concurrency=true; otherwise retain concurrency-specific results.
