file_path,file_name,parent_dir,source_subdir,experiment_id,server_config_label,model_name,date,offload_gb,run_concurrency,run_id,condition,role,num_prompts,num_warmups,input_len,output_len,temperature,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc2_run1.json,qwen_offload0_conc2_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102826,0,2,1,,,20,1,256,64,0.0,inf,1.0,2,12.595916704000048,20,0,5120,1280,1.5878161526464096,101.62023376937022,508.1011688468511,45.93819170002007,46.6203135001706,14.257953635367263,46.6203135001706,62.07287274978626,62.40518654992229,19.23027858253973,19.225834484128452,0.0180108015420206,19.225834484128452,19.253329179363867,19.271205658096157,18.92965995156217,19.20973649998814,2.3999027448374464,19.20973649998814,19.518583000217404,20.22827760009477,1257.445742400023,1258.07835899991,14.910480872006296,1258.07835899991,1274.8386997501484,1275.2210671500734
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc2_run2.json,qwen_offload0_conc2_run2.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102848,0,2,2,,,20,1,256,64,0.0,inf,1.0,2,12.723093905000042,20,0,5120,1280,1.5719446975189115,100.60446064121037,503.0223032060517,57.90226700005405,60.45819849987311,7.3806886658791315,60.45819849987311,61.21655675015064,62.385980149920215,19.24240126587241,19.245519063490843,0.0148604350932006,19.245519063490843,19.25887264523666,19.261277538569644,18.94157567890602,19.217986000057863,2.396833333910487,19.217986000057863,19.608480950137164,20.351658099707493,1270.1735467500157,1272.9435649998777,7.995890689010424,1272.9435649998777,1274.2822204498225,1274.968537689856
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc2_run3.json,qwen_offload0_conc2_run3.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102909,0,2,3,,,20,1,256,64,0.0,inf,1.0,2,12.688628764999976,20,0,5120,1280,1.576214449205697,100.8777247491646,504.3886237458231,54.74505689999205,60.44687300004625,11.46704687117385,60.44687300004625,61.435336799877405,62.602906560241536,19.23767944761869,19.242221571424864,0.0139146070449195,19.242221571424864,19.25522443729899,19.25694289380815,18.93690943515587,19.21860099992045,2.408287567868583,19.21860099992045,19.6061599998302,20.34520539983077,1266.7188620999696,1272.837683500029,11.992650457649168,1272.837683500029,1273.9943137498813,1274.3536227500044
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc2_run4.json,qwen_offload0_conc2_run4.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102931,0,2,4,,,20,1,256,64,0.0,inf,1.0,2,12.690236940999966,20,0,5120,1280,1.5760147027187057,100.86494097399716,504.32470486998585,54.86625219994039,60.30176650006069,10.765423009313212,60.30176650006069,61.153365650011445,62.79020272992511,19.238441411905463,19.244541341271944,0.0196553056541816,19.244541341271944,19.257026176984933,19.260510390954625,18.93766717890699,19.22090599987314,2.414214121130986,19.22090599987314,19.5975760002284,20.82541660024617,1266.8880611499844,1272.7053315002197,11.50335656786319,1272.7053315002197,1273.707634050038,1274.547009209905
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc2_run5.json,qwen_offload0_conc2_run5.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-102953,0,2,5,,,20,1,256,64,0.0,inf,1.0,2,12.718998102000114,20,0,5120,1280,1.57245089901027,100.63685753665727,503.18428768328647,57.95276239998657,60.38894700009223,7.370365104020352,60.38894700009223,61.61292535025496,62.92028266978378,19.23535376269849,19.235471888892096,0.0128464963354587,19.235471888892096,19.26035379603043,19.263133019518744,18.934616632031265,19.2192864997196,2.398015609989504,19.2192864997196,19.64435945037621,20.34928819996821,1269.7800494499916,1272.4796044999491,7.761930930723164,1272.4796044999491,1273.9510702997904,1274.3497100597417
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc4_run1.json,qwen_offload0_conc4_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103008,0,4,1,,,20,1,256,64,0.0,inf,1.0,4,6.371226068999931,20,0,5120,1280,3.1391132230125574,200.90324627280367,1004.5162313640184,53.14834729999802,60.309837000204425,10.60054572877869,60.309837000204425,62.7998696001896,62.93456591997256,19.346267290476383,19.351762158734463,0.0116244998746901,19.351762158734463,19.35781322539776,19.361921616503363,19.04383675000005,19.328832500150384,2.408869774396585,19.328832500150384,19.598485049914416,20.300631200084357,1271.96318660001,1278.6686485001155,10.449559000114158,1278.6686485001155,1281.981201599956,1282.104969120228
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc4_run2.json,qwen_offload0_conc4_run2.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103024,0,4,2,,,20,1,256,64,0.0,inf,1.0,4,6.396106739000061,20,0,5120,1280,3.126902163475576,200.12173846243684,1000.6086923121844,58.35406720004812,60.49258899997767,6.7692156937201,60.49258899997767,63.32550460017501,63.4241769200662,19.343367869047743,19.347655841271724,0.0146056740622076,19.347655841271724,19.3603563817446,19.36098514301388,19.040994822656643,19.32229199996982,2.412460036537404,19.32229199996982,19.692248949968416,20.328566499988483,1276.9862429500563,1279.679809500294,6.625662042000559,1279.679809500294,1281.5221870502228,1281.6113054102334
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc4_run3.json,qwen_offload0_conc4_run3.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103039,0,4,3,,,20,1,256,64,0.0,inf,1.0,4,6.382798820000062,20,0,5120,1280,3.1334216484046737,200.53898549789912,1002.6949274894956,54.76051674995688,59.40973249994386,9.256303093599874,59.40973249994386,61.30982654976833,61.35382371001469,19.32902573253917,19.32880651587232,0.0096562996839565,19.32880651587232,19.349146573810884,19.35110234333327,19.02688130624988,19.318167499932315,2.41013388227668,19.318167499932315,19.685053450257328,20.31994381002733,1272.4891378999246,1277.370675499924,9.352461015000433,1277.370675499924,1278.6420619999944,1278.681247599975
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc4_run4.json,qwen_offload0_conc4_run4.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103055,0,4,4,,,20,1,256,64,0.0,inf,1.0,4,6.404622047999965,20,0,5120,1280,3.1227447693413226,199.85566523784465,999.2783261892232,59.95789059995786,60.32834199982062,7.826301438244533,60.32834199982062,68.55673814995953,68.81863642998269,19.34503452698411,19.347508698411545,0.0127479460504818,19.347508698411545,19.36430233333181,19.36460102539636,19.04264685390657,19.329627999923105,2.410666168366669,19.329627999923105,19.810160500128404,20.2319016998581,1278.6950657999569,1279.220314499753,7.747916701615649,1279.220314499753,1286.3665741501109,1286.633929229797
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc4_run5.json,qwen_offload0_conc4_run5.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103110,0,4,5,,,20,1,256,64,0.0,inf,1.0,4,6.389809372999935,20,0,5120,1280,3.129983827766407,200.3189649770501,1001.5948248852502,53.98888485003681,61.22458100003314,11.103333690490512,61.22458100003314,61.87266345032185,63.25352949008448,19.33056730714191,19.339750444444128,0.0186735252019172,19.339750444444128,19.34499886587334,19.34520214777328,19.028361360156158,19.31722749986875,2.411645904878958,19.31722749986875,19.6718079997936,20.32786630023565,1271.814625199977,1279.6781040001406,11.829717860267348,1279.6781040001406,1280.3026136498602,1280.4867259299544
