file_path,file_name,parent_dir,source_subdir,experiment_id,server_config_label,model_name,date,offload_gb,run_concurrency,run_id,condition,role,num_prompts,num_warmups,input_len,output_len,temperature,request_rate,burstiness,max_concurrency,duration,completed,failed,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,std_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc8_run1.json,qwen_offload0_conc8_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103123,0,8,1,,,20,1,256,64,0.0,inf,1.0,8,3.919699249000132,20,0,5120,1280,5.102432286125461,326.5556663120296,1632.7783315601478,70.60170195004503,71.07339950016467,12.33006782453937,71.07339950016467,83.33172875004493,83.73203215002832,19.66786731428429,19.72031553174337,0.1747025171360729,19.72031553174337,19.88106590316846,19.912639415553556,19.3604382539057,19.70350699980372,2.509685367989858,19.70350699980372,19.99354994989062,20.95227800985413,1309.6773427499556,1314.8519324997778,17.87712712479121,1314.8519324997778,1325.618011800202,1326.0912759599933
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc8_run2.json,qwen_offload0_conc8_run2.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103136,0,8,2,,,20,1,256,64,0.0,inf,1.0,8,3.9179172799999833,20,0,5120,1280,5.104753002850557,326.70419218243563,1633.5209609121782,70.54556639998282,70.92954249992545,12.282630641931144,70.92954249992545,83.6159666999265,83.93183334015703,19.66115725396798,19.719661166665528,0.1725176173551545,19.719661166665528,19.871385440473247,19.876820948413208,19.353838982811663,19.68855600011921,2.507760064872841,19.68855600011921,20.00693700024385,20.682967929983544,1309.1984733999652,1313.1109999999353,18.45160684302889,1313.1109999999353,1327.1486247000894,1327.4558577400376
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc8_run3.json,qwen_offload0_conc8_run3.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103149,0,8,3,,,20,1,256,64,0.0,inf,1.0,8,3.9144603240001743,20,0,5120,1280,5.109261135532998,326.9927126741119,1634.9635633705595,70.83621170002061,71.87620300010167,12.407737822797204,71.87620300010167,83.65021904985497,83.71015340987014,19.641951126983795,19.705085134918345,0.1796096443924297,19.705085134918345,19.858325784918403,19.867894655397265,19.334907202343388,19.67234599987933,2.5200296573365057,19.67234599987933,20.112867500211,20.66790340006264,1308.2791326999995,1313.226775999965,18.897246980205413,1313.226775999965,1325.8655355500423,1325.9191543097995
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc8_run4.json,qwen_offload0_conc8_run4.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103203,0,8,4,,,20,1,256,64,0.0,inf,1.0,8,3.915386103000401,20,0,5120,1280,5.1080530690635575,326.9153964200677,1634.5769821003385,70.76103680005872,72.32296749998568,12.033251447919216,72.32296749998568,82.40631119995214,82.67045984002378,19.64706287936455,19.710214634923908,0.18148008618199,19.710214634923908,19.85970813570785,19.88470068746095,19.33997024843777,19.66090099995199,2.5222998594879105,19.66090099995199,20.14756595012841,21.42966481012536,1308.5259982000252,1314.776047000123,18.303593068670413,1314.776047000123,1324.1100280002229,1324.1303656001128
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc8_run5.json,qwen_offload0_conc8_run5.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103215,0,8,5,,,20,1,256,64,0.0,inf,1.0,8,3.915072069999951,20,0,5120,1280,5.10846279261476,326.94161872734463,1634.708093636723,70.67285824996361,71.28304649995698,12.23570766649476,71.28304649995698,83.49619124971923,83.83434944991222,19.648347960316773,19.710442428572968,0.1841438431903815,19.710442428572968,19.86046572936911,19.87110451095615,19.341202544530844,19.675756000197,2.510778849890462,19.675756000197,20.13865299986719,20.6813937098832,1308.5187797499202,1312.909457999922,19.11535975453418,1312.909457999922,1326.6785872998526,1327.0247110597893
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc12_run1.json,qwen_offload0_conc12_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103227,0,12,1,,,20,1,256,64,0.0,inf,1.0,12,2.6968591999998357,20,0,5120,1280,7.4160341778322065,474.6261873812612,2373.130936906306,92.41761164994386,112.57787950012244,24.34893079952669,112.57787950012244,114.76564759987014,114.91545271988798,20.00542436746097,20.156060500001995,0.2697576841004859,20.156060500001995,20.187753375402973,20.581804363969677,19.69274486093795,20.05453500009935,2.762945146539832,20.05453500009935,20.48679905024073,21.42484959995727,1352.759346799985,1382.4420109999664,34.648894208865066,1382.4420109999664,1384.9447716000668,1385.0913695201325
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc12_run2.json,qwen_offload0_conc12_run2.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103239,0,12,2,,,20,1,256,64,0.0,inf,1.0,12,2.697031941000205,20,0,5120,1280,7.415559191554447,474.5957882594846,2372.9789412974237,87.96192444999633,91.73769599988192,22.29121849506701,91.73769599988192,109.64834514957148,109.8972626296654,20.05303123650777,20.1839392777784,0.2994235286010792,20.1839392777784,20.63498521667014,20.651416090951308,19.73958339375024,20.02045999984148,2.8723186695848435,20.02045999984148,20.47637949981436,21.510713309835413,1351.302892349986,1369.8685839999598,31.06072299705879,1369.8685839999598,1381.614230649575,1381.889162929656
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc12_run3.json,qwen_offload0_conc12_run3.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103251,0,12,3,,,20,1,256,64,0.0,inf,1.0,12,2.6968049390002307,20,0,5120,1280,7.416183391971416,474.63573708617065,2373.1786854308534,91.14148369992564,110.87911149979846,23.927710729199955,110.87911149979846,112.95475954998436,113.03207510970424,20.02139799682597,20.170025174607755,0.2642435763232239,20.170025174607755,20.20258614920605,20.580219629842063,19.7084547765634,20.03312449983241,2.728165362600778,20.03312449983241,20.49271745024725,21.286391740090963,1352.4895574999618,1381.778244500083,34.2389814213611,1381.778244500083,1383.7892741499445,1383.9999332299294
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc12_run4.json,qwen_offload0_conc12_run4.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103303,0,12,4,,,20,1,256,64,0.0,inf,1.0,12,2.6967609980001725,20,0,5120,1280,7.416304231198586,474.6434707967095,2373.217353983548,90.62521529999684,110.060352499886,23.518011719104408,110.060352499886,112.09496555024998,112.12690911009304,20.03350779920643,20.19942420635007,0.2815272305584821,20.19942420635007,20.231629189685112,20.59839407920489,19.7203765593752,20.04409500000293,2.743901717635079,20.04409500000293,20.83974399984072,21.33354060002148,1352.7362066500018,1382.6475574999222,34.97324992504607,1382.6475574999222,1384.6939638001004,1385.099648760197
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc12_run5.json,qwen_offload0_conc12_run5.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103315,0,12,5,,,20,1,256,64,0.0,inf,1.0,12,2.696323093999581,20,0,5120,1280,7.417508697124673,474.7205566159791,2373.6027830798957,92.93447524996736,114.9133185001574,25.93941332025443,114.9133185001574,116.5632002500388,116.88848404986857,19.998973712698728,20.147440738092264,0.2642405879009945,20.147440738092264,20.17666050793405,20.568476457144587,19.686375699999203,20.051559999956226,2.7970411184393345,20.051559999956226,20.475325000165867,21.48124664008724,1352.869819149987,1384.166449000077,36.34687304687648,1384.166449000077,1386.0267967497975,1386.355401750102
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc16_run1.json,qwen_offload0_conc16_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103326,0,16,1,,,20,1,256,64,0.0,inf,1.0,16,2.682512768999913,20,0,5120,1280,7.455696103715599,477.1645506377984,2385.822753188992,105.6945034499222,121.94430199974704,29.05185347900247,121.94430199974704,123.70673025004636,124.0789060499219,20.202619026985133,20.39451395238223,0.47669605200661,20.39451395238223,20.42636093174621,20.892402268888063,19.88685438437656,20.34716350021881,2.9238457833448943,20.34716350021881,21.07633800003441,21.99909310013936,1378.4595021499854,1406.3045459997738,52.82497517268252,1406.3045459997738,1408.5612522501378,1408.9330176498606
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc16_run2.json,qwen_offload0_conc16_run2.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103338,0,16,2,,,20,1,256,64,0.0,inf,1.0,16,2.683935419000136,20,0,5120,1280,7.451744128571741,476.91162422859145,2384.558121142957,105.81673839997164,121.96498849971248,28.97235257306192,121.96498849971248,123.61101680000957,123.7655521601164,20.23000101031747,20.43332433333403,0.4958624867553339,20.43332433333403,20.46392927301267,20.919075467304246,19.91380762968653,20.3544424998654,2.8588491175984454,20.3544424998654,21.03602004976892,21.72819151003296,1380.3068020499722,1409.2166349998934,54.07708338542439,1409.2166349998934,1410.7317882002008,1410.8722848398156
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc16_run3.json,qwen_offload0_conc16_run3.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103350,0,16,3,,,20,1,256,64,0.0,inf,1.0,16,2.682041804999699,20,0,5120,1280,7.457005316888506,477.2483402808644,2386.241701404322,104.5557901499933,120.466176500031,28.710693221730548,120.466176500031,122.33877315027256,122.4193962299205,20.22015853253942,20.418150047622216,0.4862879634679052,20.418150047622216,20.44937913015452,20.908130619677863,19.90410190000027,20.345946000134063,2.905000375630629,20.345946000134063,21.22893299979296,23.48344778994488,1378.4257776999766,1406.360276999976,53.040850977859456,1406.360276999976,1408.4601292002844,1408.723806640155
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc16_run4.json,qwen_offload0_conc16_run4.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103402,0,16,4,,,20,1,256,64,0.0,inf,1.0,16,2.6860624040000403,20,0,5120,1280,7.445843391507333,476.5339770564693,2382.6698852823465,106.78886990003777,123.51629950035203,29.621539299921025,123.51629950035203,124.73382494981706,124.96883138979685,20.22720914999896,20.41987730158253,0.4762691419880111,20.41987730158253,20.45912396824572,20.895295688882584,19.911026841404578,20.3371265001806,2.8711733006740974,20.3371265001806,20.735021000382403,22.45127283992588,1381.103046349972,1410.013320500184,53.805482348185045,1410.013320500184,1411.205724549336,1411.4551193099123
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512\qwen_offload0_conc16_run5.json,qwen_offload0_conc16_run5.json,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,bench_runs_offload_paper1_qwen_fullrep_offload0_20260601_102512,offload_paper1_qwen_fullrep,qwen25_7b_offload0,Qwen/Qwen2.5-7B-Instruct,20260601-103413,0,16,5,,,20,1,256,64,0.0,inf,1.0,16,2.685572518999834,20,0,5120,1280,7.447201614741142,476.6209033434331,2383.1045167171656,105.61925745000735,121.8823419999353,29.09070970793975,121.8823419999353,123.31014394953854,123.80317039046533,20.245431604760395,20.44811914285876,0.495423780952003,20.44811914285876,20.4785477293554,20.922245850637523,19.928973721093968,20.327497999915067,2.882561016623819,20.327497999915067,20.888676500408103,22.81740660979267,1381.0814485499122,1410.1223034999748,54.406981358067725,1410.1223034999748,1411.4943104996655,1411.993972500577
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload2_20260601_103750\qwen_offload2_conc2_run1.json,qwen_offload2_conc2_run1.json,bench_runs_offload_paper1_qwen_fullrep_offload2_20260601_103750,bench_runs_offload_paper1_qwen_fullrep_offload2_20260601_103750,offload_paper1_qwen_fullrep,qwen25_7b_offload2,Qwen/Qwen2.5-7B-Instruct,20260601-111335,2,2,1,,,20,1,256,64,0.0,inf,1.0,2,182.91698731400083,20,0,5120,1280,0.1093392160765659,6.997709828900217,34.988549144501086,790.5059962498854,844.5678349994523,139.75809002798093,844.5678349994523,846.7704514495381,847.8105182893887,277.34609491032126,277.3523270555646,0.0553917626997495,277.3523270555646,277.41352780873734,277.4225377776258,273.0123789203155,277.2164369998791,34.405642780728975,277.2164369998791,278.4691724494224,281.4284889698956,18263.309975600125,18317.843241500213,142.33051979759944,18317.843241500213,18321.91530559985,18322.34655391987
C:\projects\porto\runs\2026-06-01_Qwen\bench_runs_offload_paper1_qwen_fullrep_offload2_20260601_103750\qwen_offload2_conc2_run2.json,qwen_offload2_conc2_run2.json,bench_runs_offload_paper1_qwen_fullrep_offload2_20260601_103750,bench_runs_offload_paper1_qwen_fullrep_offload2_20260601_103750,offload_paper1_qwen_fullrep,qwen25_7b_offload2,Qwen/Qwen2.5-7B-Instruct,20260601-111704,2,2,2,,,20,1,256,64,0.0,inf,1.0,2,182.96080377100043,20,0,5120,1280,0.1093130309212711,6.996033978961356,34.98016989480678,791.2180199498835,845.5904934999126,140.3153962531524,845.5904934999126,848.3579170497251,848.8245882101182,277.40328021270057,277.3379857698461,0.1571837690101513,277.3379857698461,277.7085496507937,277.7333439873039,273.06866281328297,277.1825049999279,34.43751043252384,277.1825049999279,278.965664049656,282.3397939399729,18267.62467335002,18318.340200999955,141.20105004047397,18318.340200999955,18340.90829714978,18343.209731429943
