dataset_model,path,date,experiment_id,server_config_label,model_key,model_name,offload_gb,concurrency,input_len,output_len,num_warmups,run_no,completed,failed,duration_s,total_input_tokens,total_output_tokens,request_throughput,output_throughput,total_token_throughput,mean_ttft_ms,median_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,median_e2el_ms,p95_e2el_ms,p99_e2el_ms,validation_status
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out128_run1.json,20260704-084947,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,128,1,1,20,0,5.6531008960009785,5100,2560,3.537881309379789,452.848807600613,1355.0085414924592,72.31013274977158,80.77325500016741,82.84266319878952,83.2141846372906,21.81869627047418,22.384107862193574,22.386124248052194,22.38624686536821,21.648177993748163,22.21786450172658,22.618634949685656,23.337716000132783,2843.284559099993,2923.5840644996642,2925.868122699103,2926.248680539502,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out128_run2.json,20260704-085003,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,128,1,2,20,0,5.657812303998071,5100,2560,3.5349352232606015,452.471708577357,1353.8801905088105,72.32808699973248,80.64765649942274,82.19634824909008,82.35266885105375,21.83479426692959,22.390395354339876,22.394556114174815,22.394637200775076,21.664157691799346,22.246929998800624,22.66735199973482,23.060091630650255,2845.3469588997905,2924.2448170007265,2926.200326601065,2926.2653157194654,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out128_run3.json,20260704-085019,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,128,1,3,20,0,5.656383074998303,5100,2560,3.535828414521943,452.5860370588087,1354.2222827619041,72.9919871499078,81.5071099987108,83.21388319927792,83.33732544160739,21.826345412205047,22.38883270865341,22.391856327562067,22.39206931904803,21.655773821483137,22.256895499594975,22.642280000218307,23.096152398575214,2844.937854499949,2925.0686839986884,2926.9466527994155,2927.123532160658,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out128_run4.json,20260704-085035,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,128,1,4,20,0,5.658585926001251,5100,2560,3.5344519393263654,452.40984823377477,1353.695092761998,72.58512924963725,80.64400149851281,82.59924744907039,82.89203668970003,21.838957954727316,22.40533344490008,22.409099937401088,22.409134891398235,21.668288864455576,22.230069998840918,22.74818455098284,23.15345539987902,2846.1327895000068,2926.3702099997317,2928.5201705000873,2928.804661300346,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out128_run5.json,20260704-085051,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,128,1,5,20,0,5.658941617999517,5100,2560,3.5342297818351,452.3814120748928,1353.6100064428433,73.20965785020235,82.34398800050258,83.99431065081444,84.34997012875101,21.836406634247396,22.401544964556855,22.404076457069742,22.404076582751312,21.66574800195491,22.225304499443155,22.638186498261348,23.10824090967799,2846.4333003996217,2927.3494284989283,2929.311113098629,2929.65299301748,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out32_run1.json,20260704-084750,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,32,1,1,20,0,1.4865025619983498,5100,640,13.45439995280829,430.54079848986527,3861.412786455979,71.53435115087632,79.31505100168579,81.00904359998822,81.34178071944916,21.7654647257962,22.318462774203525,22.33443857099525,22.3377172109946,21.085094242181412,22.08997600064322,22.85398654985329,24.05136290246446,746.2637576505585,771.1889020010858,773.3353316483772,773.6733895299767,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out32_run2.json,20260704-084801,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,32,1,2,20,0,1.4848542250001628,5100,640,13.469335685122765,431.0187419239285,3865.6993416302334,71.27591985063191,78.58853149991774,80.35328640016814,80.58936368161085,21.746515417732056,22.308851661246962,22.326126645149937,22.326138903218602,21.06667587654556,22.05046499875607,22.881072497330024,24.49798750985792,745.4178978003256,770.6375765010307,772.4632123998163,772.6996696813876,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out32_run3.json,20260704-084811,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,32,1,3,20,0,1.4855702419990848,5100,640,13.462843717902315,430.8109989728741,3863.836147037964,71.58552520031662,79.03845350119809,81.07448765003937,81.41260632823105,21.747903696761508,22.31698393552506,22.326513403142247,22.326603867705053,21.068022296873323,22.03690000169445,22.90553045040724,23.983847500894626,745.7705397999234,770.8876265005529,773.1987716493677,773.5196079292291,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out32_run4.json,20260704-084821,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,32,1,4,20,0,1.470067154001299,5100,640,13.604820667928703,435.3542613737185,3904.5835316955377,62.654467800348364,64.71539999984088,66.01868824764097,66.46476645015355,21.723557135473744,22.26539590317829,22.271044496700334,22.32255749287076,21.04444012500153,22.166208498674678,22.44366699924285,24.382251809729496,736.0847390000345,753.3017435016518,755.2015301016581,755.5415556207663,OK
llama,/home/rock/projects/DOS/new/runs/profile_grid_v2/llama/offload0/llama_offload0_conc12_in256_out32_run5.json,20260704-084831,profile_grid_v2,llama_offload0,llama,meta-llama/Llama-3.1-8B-Instruct,0,12,256,32,1,5,20,0,1.4858613559990772,5100,640,13.460206040927833,430.72659330969066,3863.079133746288,72.17922679974436,80.04536100088444,82.09434615309874,82.42608843029302,21.73825957096626,22.294747483864477,22.31545907900234,22.315494112592734,21.058727392176024,22.133821999887004,22.864979598125498,24.538415020506367,746.0652734996984,771.3579030005349,773.8731521521913,774.1995136309924,OK
