file,offload_gb,concurrency,input_len,output_len,run_no,completed,failed,tpot_median,tpot_p95,itl_median,itl_p95,ttft_median,ttft_p95,e2el_median,e2el_p95,n_tpot_values,n_itl_values,n_ttft_values,n_e2el_values
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc12_in256_out64_run1.json,0,12,256,64,1,20,0,22.029852179363687,22.30692642063202,21.81491357425216,22.217054000066128,77.45883904926814,82.12534299855179,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc12_in256_out64_run2.json,0,12,256,64,2,20,0,22.029284474996935,22.31050838888641,21.818484907720403,22.22885999981372,77.51040692492097,82.00427449992276,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc12_in256_out64_run3.json,0,12,256,64,3,20,0,22.026318892454178,22.30913919840301,21.8003700832881,22.197104000952095,76.18655302567277,80.10168750115554,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc12_in256_out64_run4.json,0,12,256,64,4,20,0,22.014515762687857,22.294432730141416,21.80430558666302,22.213719501451124,76.69793827599278,80.66220750151842,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc12_in256_out64_run5.json,0,12,256,64,5,20,0,22.02014734009012,22.29833557144697,21.76869376613979,22.135262001029332,75.8452816994577,79.83140949909284,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out128_run1.json,0,16,256,128,1,20,0,22.480476160039622,22.701387047242513,22.336167217277847,22.586724000575487,84.20982809993802,87.71762849937659,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out128_run2.json,0,16,256,128,2,20,0,22.477892175394786,22.696377673228415,22.34735139513475,22.609249497691053,86.06744185017305,89.99063550072606,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out128_run3.json,0,16,256,128,3,20,0,22.495783054541324,22.71752940159929,22.36528076827895,22.63059550023172,85.08615530008683,88.77600249979878,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out128_run4.json,0,16,256,128,4,20,0,22.493308459647455,22.714094870082583,22.361632057103975,22.624795001320308,85.7310357759161,89.46769700196455,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out128_run5.json,0,16,256,128,5,20,0,22.487513674799786,22.70773746062418,22.350394535740037,22.607519502344076,85.59771812479084,89.34789349950734,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out32_run1.json,0,16,256,32,1,20,0,22.40992758466863,22.62390545160264,22.01742824245798,22.532822998982738,85.06129032584795,88.84279600169975,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out32_run2.json,0,16,256,32,2,20,0,22.355711416909596,22.565402709651316,21.939508080291148,22.425279499657336,85.70910507487497,89.5630404993426,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out32_run3.json,0,16,256,32,3,20,0,22.328058177434635,22.532741322603187,21.963613363513446,22.495420998893678,85.15419019904584,88.8817464983731,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out32_run4.json,0,16,256,32,4,20,0,22.314682649196207,22.518668322581725,21.97477078371719,22.53001299868629,85.46096630025204,89.20045100057905,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out32_run5.json,0,16,256,32,5,20,0,22.328297763693453,22.533172564503584,21.955764284189172,22.479676499642665,85.90379080033017,89.79214650025824,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out64_run1.json,0,16,256,64,1,20,0,22.356126617077756,22.563953563515078,22.164001544794587,22.525901998960762,85.82263074913499,89.67760349878517,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out64_run2.json,0,16,256,64,2,20,0,22.352029114282477,22.56067868253763,22.157612418997985,22.517952500493266,86.15904232501634,90.02945249994809,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out64_run3.json,0,16,256,64,3,20,0,22.349441740471587,22.558891785708497,22.15839755145197,22.52285699978529,86.36200842620383,90.25326950177259,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out64_run4.json,0,16,256,64,4,20,0,22.370187740066214,22.58200104759973,22.17183999134278,22.53167249909893,85.06551837499501,88.82263449959282,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc16_in256_out64_run5.json,0,16,256,64,5,20,0,22.35461422261858,22.565239293654155,22.161983308068045,22.526077500515385,86.12308610054242,90.01687750060228,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out128_run1.json,0,1,256,128,1,20,0,19.501185202160002,19.50427519290043,19.419682347901812,19.493685500492575,28.620404474622774,28.62069744969631,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out128_run2.json,0,1,256,128,2,20,0,19.483966431888852,19.487074985827203,19.410612958908757,19.486470000629197,28.655512950172124,28.670670900464756,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out128_run3.json,0,1,256,128,3,20,0,19.490546259841338,19.492115401575806,19.413525137392895,19.48730850017455,27.83469762543973,27.890969749569194,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out128_run4.json,0,1,256,128,4,20,0,19.49142163090775,19.49440941141974,19.415729319470643,19.489446998704807,28.11948747466886,28.119972499553114,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out128_run5.json,0,1,256,128,5,20,0,19.487893770276678,19.491459052362302,19.414367636452567,19.48964150142274,28.398941424347868,28.433534998839605,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out32_run1.json,0,1,256,32,1,20,0,19.460573062931346,19.46302201290711,19.149198618612218,19.444028999714646,27.788503549982124,27.849786099432094,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out32_run2.json,0,1,256,32,2,20,0,19.463474957275693,19.46669833388671,19.152671719353975,19.447329001195612,27.671422074217844,27.719757149861834,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out32_run3.json,0,1,256,32,3,20,0,19.46899156206024,19.469128285468727,19.156997738835457,19.453762999546598,28.397343599135638,28.413884700421477,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out32_run4.json,0,1,256,32,4,20,0,19.468666129875686,19.46946532421979,19.156289865938447,19.45192200219026,28.078391249982815,28.102630999637768,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out32_run5.json,0,1,256,32,5,20,0,19.460921114527846,19.461205196791028,19.152152957494195,19.45161200092116,28.516758524710895,28.548934050195385,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out64_run1.json,0,1,256,64,1,20,0,19.475150910719613,19.47591892461036,19.32244630049098,19.47349650254182,28.04792562537841,28.186031750192342,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out64_run2.json,0,1,256,64,2,20,0,19.48107988015932,19.48126837937058,19.3268281903471,19.476949999443605,27.991212999313575,28.020550999463012,,,2,2,2,0
C:\projects\DOS\new\runs\profile_grid_v2\llama\offload0\llama_offload0_conc1_in256_out64_run3.json,0,1,256,64,3,20,0,19.48257852500319,19.48473556587689,19.33078979224092,19.48145449932781,28.416361925337696,28.46638385017286,,,2,2,2,0
