dataset,defense,defense_param,jitter_rep,attacker_type,classifier,featureset,split_id,balanced_accuracy,auroc,accuracy,n_train,n_test,n_low_test,n_high_test,overhead_median_ms_all,overhead_median_ms_low,overhead_median_ms_high,relative_overhead_low,relative_overhead_high,effective_pad
llama,none,0.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,none,0.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_const_pad,25.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,25.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,25.00000,25.00000,25.00000,0.39502,0.00772,
llama,ttft_const_pad,50.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
