dataset,defense,defense_param,jitter_rep,attacker_type,classifier,featureset,split_id,balanced_accuracy,auroc,accuracy,n_train,n_test,n_low_test,n_high_test,overhead_median_ms_all,overhead_median_ms_low,overhead_median_ms_high,relative_overhead_low,relative_overhead_high,effective_pad
llama,ttft_const_pad,50.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,50.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,50.00000,50.00000,50.00000,0.79005,0.01545,
llama,ttft_const_pad,100.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,100.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,100.00000,100.00000,100.00000,1.58009,0.03089,
llama,ttft_const_pad,200.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,200.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,200.00000,200.00000,200.00000,3.16019,0.06179,
llama,ttft_const_pad,400.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,400.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,400.00000,400.00000,400.00000,6.32038,0.12357,
llama,ttft_const_pad,800.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,800.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,800.00000,800.00000,800.00000,12.64075,0.24714,
llama,ttft_const_pad,1200.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,LogReg,core,2,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,RandomForest,core,2,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,LogReg,core,3,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,RandomForest,core,3,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,LogReg,core,4,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,adaptive,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_const_pad,1200.00000,0,frozen,RandomForest,core,4,1.00000,1.00000,1.00000,960,240,120,120,1200.00000,1200.00000,1200.00000,18.96113,0.37071,
llama,ttft_floor_pad,50.00000,0,adaptive,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_floor_pad,50.00000,0,frozen,LogReg,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_floor_pad,50.00000,0,adaptive,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_floor_pad,50.00000,0,frozen,RandomForest,core,0,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_floor_pad,50.00000,0,adaptive,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_floor_pad,50.00000,0,frozen,LogReg,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_floor_pad,50.00000,0,adaptive,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
llama,ttft_floor_pad,50.00000,0,frozen,RandomForest,core,1,1.00000,1.00000,1.00000,960,240,120,120,0.00000,0.00000,0.00000,0.00000,0.00000,
