dataset,cv,defense,defense_family,defense_param,attacker_type,classifier,featureset,oracle,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std,accuracy_mean,n_splits,n_jitter_reps,overhead_total_median_ms_low,overhead_total_median_ms_high,overhead_total_p95_ms_low,overhead_ttft_median_ms_low,overhead_decode_median_ms_low,relative_overhead_total_low,effective_target_ttft_mean,effective_target_ttft_std,effective_target_itl_mean,effective_target_itl_std
combined,loco,calibrated_floor,combined_main,q50,frozen,RandomForest,e2el_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,frozen,RandomForest,itl_core,False,0.50000,0.00000,0.50000,0.00000,0.50000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,frozen,RandomForest,itl_median_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,calibrated_floor,combined_main,q50,frozen,RandomForest,ttft_only,False,0.50000,0.00000,0.50000,0.00000,0.50000,6,1,93219.66049,2294.86052,93297.28401,3282.11207,89937.06609,69.87923,3344.66511,20.33464,1425.14072,0.28255
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,LogReg,all_primary,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,LogReg,decode_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,LogReg,e2el_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,LogReg,itl_core,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,LogReg,itl_median_only,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,LogReg,ttft_only,False,1.00000,0.00000,1.00000,0.00000,1.00000,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,RandomForest,all_primary,False,0.95833,0.10206,1.00000,0.00000,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,RandomForest,decode_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,RandomForest,e2el_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,RandomForest,itl_core,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,RandomForest,itl_median_only,False,0.95833,0.10206,0.95833,0.10206,0.95833,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
combined,loco,combined_floor,combined_main,ttft100_itl25,adaptive,RandomForest,ttft_only,False,1.00000,0.00000,1.00000,0.00000,1.00000,6,1,368.84167,24.99416,443.61256,37.44697,328.12153,0.27485,,,,
