dataset,cv,featureset,classifier,balanced_accuracy_mean,balanced_accuracy_std,auroc_mean,auroc_std
combined,loco,all_primary,LogReg,0.95833,0.10206,1.00000,0.00000
combined,loco,decode_only,LogReg,0.95833,0.10206,1.00000,0.00000
combined,loco,e2el_only,LogReg,0.95833,0.10206,1.00000,0.00000
combined,loco,itl_core,LogReg,0.95833,0.10206,1.00000,0.00000
combined,loco,itl_median_only,LogReg,0.95833,0.10206,1.00000,0.00000
combined,loco,ttft_only,LogReg,1.00000,0.00000,1.00000,0.00000
combined,loco,all_primary,RandomForest,0.95833,0.10206,1.00000,0.00000
combined,loco,decode_only,RandomForest,0.95833,0.10206,0.95833,0.10206
combined,loco,e2el_only,RandomForest,0.95833,0.10206,0.95833,0.10206
combined,loco,itl_core,RandomForest,0.95833,0.10206,0.95833,0.10206
combined,loco,itl_median_only,RandomForest,0.95833,0.10206,0.95833,0.10206
combined,loco,ttft_only,RandomForest,1.00000,0.00000,1.00000,0.00000
llama,loco,all_primary,LogReg,0.91667,0.20412,1.00000,0.00000
llama,loco,decode_only,LogReg,0.91667,0.20412,1.00000,0.00000
llama,loco,e2el_only,LogReg,0.91667,0.20412,1.00000,0.00000
llama,loco,itl_core,LogReg,0.91667,0.20412,1.00000,0.00000
llama,loco,itl_median_only,LogReg,0.91667,0.20412,1.00000,0.00000
llama,loco,ttft_only,LogReg,1.00000,0.00000,1.00000,0.00000
llama,loco,all_primary,RandomForest,0.91667,0.20412,1.00000,0.00000
llama,loco,decode_only,RandomForest,0.91667,0.20412,0.91667,0.20412
llama,loco,e2el_only,RandomForest,0.91667,0.20412,0.91667,0.20412
llama,loco,itl_core,RandomForest,0.91667,0.20412,0.91667,0.20412
llama,loco,itl_median_only,RandomForest,0.91667,0.20412,0.91667,0.20412
llama,loco,ttft_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,loco,all_primary,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,loco,decode_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,loco,e2el_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,loco,itl_core,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,loco,itl_median_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,loco,ttft_only,LogReg,1.00000,0.00000,1.00000,0.00000
qwen,loco,all_primary,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,loco,decode_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,loco,e2el_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,loco,itl_core,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,loco,itl_median_only,RandomForest,1.00000,0.00000,1.00000,0.00000
qwen,loco,ttft_only,RandomForest,1.00000,0.00000,1.00000,0.00000
